"gaptext","date"
"@rojas_cuellar We'd love to have a member of leadership within Synchrony contact you with a resolution. We're happy to help!",2016-02-26
"@rojas_cuellar We're very sorry to hear about this. Can you please send us an email at custserv@gap.com with your contact information?",2016-02-26
"@kyleman7871 We're sorry to hear this. You're welcome to have them evaluated by a Gap store manager at any time. Thanks for sharing!",2016-02-26
"Some things are iconic for a reason. #nothingbutdenim

Shop @itsmattbauer's 1969 denim: https://t.co/lBYtmGKya0 https://t.co/2Cz5BT05wL",2016-02-25
"@rojas_cuellar We're sorry to hear this. Did you return something in-store or to online? Do you have an order number so we can check? Thanks",2016-02-25
"@mattetallic We don't have any specifics on restocks, but we'll share your feedback with our merchandising leaders so they're aware. Thanks!",2016-02-25
"@jopilkie Sorry to see this. Give us a call tomorrow at 0800 368 0674 if you don't receive it today. We'll be happy to go over your options.",2016-02-25
"@amandacthall We're sorry for any frustration you encountered. We'll make sure your feedback is shared with our marketing teams. Thanks!",2016-02-25
"@xx_Radical_xx Please email us at custserv@gap.com and we can remove you from our distribution lists. thanks!",2016-02-25
"@jopilkie Send us your order number so we can look into this for you.  Thanks!",2016-02-25
"@zaggenzagga We are required to charge for plastic bags. Please know that 4p of every 5p charged is donated to  Action for Children. Thx.",2016-02-25
"@jwrichte09 Sorry to hear this. Please send you order number so we can look into this for you. Thanks!",2016-02-25
"@lyonnnss We see you spoke with customer service yesterday.  Thanks for your patience!",2016-02-25
"@ChrisCattatini Can you let us know the style number for these shorts? We want to make sure we are looking for the right product.  Thanks!",2016-02-25
"@michelle_robyn Thanks for shopping with us! We're glad to hear you had an enjoyable experience :)",2016-02-24
"Elevate jeans for a day at the gallery w/ heels &amp; a classic coat. 

See @JenniKayne's look: https://t.co/ahAHEpC8jw https://t.co/PpM3KZHA3i",2016-02-24
"@kerihillbeauty Thanks for shopping with us! We hope to see you back soon :)",2016-02-24
"@thejasminediane Love how you styled them!",2016-02-24
"@jamiesheabauer Amazing shot!",2016-02-24
"@GlobalGarcon We're more than a little obsessed with the patchwork denim, too!",2016-02-24
"@lyonnnss  We are happy to look into this for you. Please send your order number so we can look at your order.  Thanks!",2016-02-24
"@MdollarTime Sorry to hear this. Take them to the store and meet with manager. If the see that its defective, they can help. Thanks",2016-02-24
"@bianx615 Try double checking  for exclusions. If that's not the problem, give us a call so we can help. 1-800-GAPSTYLE.  Thanks!",2016-02-24
"Jamie Bauer packs her favorite Gap denim for a camping trip. #nothingbutdenim

See more: https://t.co/ahAHEpC8jw https://t.co/DkWMcvRxh2",2016-02-23
"@uglyfrenchfry Sorry to hear you lost it. You're welcome to take advantage of our 40% off promotion available online right now. Thanks!",2016-02-23
"@Tangie_29 We don't have any specifics on an upcoming Casting Call. Sorry for any disappointment this may cause.",2016-02-23
"@sumysue1 Give us a call at 0800 368 0674 so we can check on this for you. Thanks!",2016-02-23
"@AmyBG8 Sorry to hear this. We'll share your feedback with the store's leadership so it can be addressed. Thanks!",2016-02-23
"@TravelingRee We're sorry to hear this. Can you give us your order number so we can check? Thanks!",2016-02-23
"@BooksSu Sorry to hear this. Feel free to bring it to your local Gap store and a manager will be happy to assist you with a refund. Thanks!",2016-02-23
"@fmarciano We offer a Merchandise Certificate by mail for the current selling price of the item. The item must be unwashed and unworn.",2016-02-23
"@cats2cats Sorry to hear this. Check the usage details to make sure the items you selected are eligible. 800-GAP-STYLE if you need help.",2016-02-23
"@lunadoodle We're sorry to hear this. Give us a call at 800-GAP-STYLE so we can help with this. Thanks!",2016-02-23
"@MooptysMom Send us your order information and we can check on this for you.  thanks!",2016-02-23
"@FionaLondonarts Sorry to hear you had trouble shopping with us. We'll share your feedback with our online leaders so they're aware. Thanks!",2016-02-22
"@shanohshay Oh no! Give us a call at 800-GAP-STYLE so we can get a little more information. Thanks!",2016-02-22
"@relqt If you have the style number, give us a call at 800-GAP-STYLE so we can help. Thanks!",2016-02-22
"@DEHausfrau We're sorry for any frustration you encountered. We'll share your feedback with our marketing leaders so they're aware. Thanks!",2016-02-22
"Malaika goes vintage in the leg-lengthening Flare.

Shop #1969denim: https://t.co/Epw2RRtnLI https://t.co/wxHTltIIEv",2016-02-22
"Celebrating #helloMumbai: @RanveerOfficial performs traditional Lezim to welcome our newest @Gap store in India. https://t.co/1pJ6LE81QO",2016-02-22
"@genetic_blends Sorry to see this. Feel free to bring it to your local Gap store and a manager will be happy to evaluate it for you. Thanks!",2016-02-19
"@AJSchroder Customers could earn GapCash coupons between 12/28/15 and 2/7/16. Hope this helps!",2016-02-19
"A good pair of jeans is @happilygrey's go-to on laid-back/work from home days.

See more: https://t.co/ahAHEpC8jw https://t.co/p2oeMCWBH6",2016-02-19
"@needscoffeestat No worries! Give us a call at 800-GAP-STYLE and we'll go over your options. Thanks for letting us know!",2016-02-19
"@NancyJoys We don't have any specifics on this, but we'll share your feedback with our merchandising teams so they're aware. Thanks!",2016-02-19
"@KirstenAkens We've partnered with some merchants on this and will get back to you as soon as we know more. Thanks!",2016-02-19
"@aviserber We're sorry to hear this. Feel free to bring them to your local Gap store and a manager will be happy to help you. Thanks!",2016-02-18
"Free spirited feelings. #nothingbutdenim

Shop 1969 New Generation: https://t.co/I0x8Oy23iK https://t.co/1pI8Blyfi5",2016-02-18
"@JustKateBlack Oh no! Looping in @AskSynchrony so they can help with your card. Thanks for being a cardholder!",2016-02-18
"@winandkevforev We're sorry to hear this. Can you let us know which store you visited so we can share with their leadership? Thanks!",2016-02-18
"@meggyb261 We're sorry to hear about your frustration. We'll share your feedback with our marketing leaders so they're aware. Thanks!",2016-02-18
"@TheDurfinator Thanks for contacting us. Give us a call at 800-GAP-STYLE so we can help with this . Thanks!",2016-02-18
"@rhymeswithcat We're concerned to hear about this. Please call us at 800-GAP-STYLE so we can go over your options. Thanks!",2016-02-18
"@robyns88 Sorry to hear this. Send us an email at custserv@gap.com with the details. We're happy to see what options are available. Thanks!",2016-02-18
"@Ange80 Give us a call at 0800 368 0674 so we can check on this for you. Thanks, Gap",2016-02-18
"Classic and clean for spring. #nothingbutdenim

Shop new arrivals: https://t.co/Epw2RRtnLI https://t.co/4annqO0MxI",2016-02-17
"@schwartz_bwithu We want to see if we can help. Please call us so we can get more details about the coupon and purchase. Thx!  800-GAPSTYLE",2016-02-17
"@jillmtrey Absolutely!  You can shop Old Navy, Gap, Banana Republic, and Athleta.  Enjoy!",2016-02-17
".@Sierra_Prescott takes on the concrete jungle of LA in her favorite Gap jeans.

See more: https://t.co/ahAHEpC8jw https://t.co/082MGBYQu8",2016-02-17
"@_grahamlewis_ Merchandise Certificates do not expire and can be used at any of our brand stores. 800-GAP-STYLE for help. Thanks!",2016-02-16
"@xcatx_90 We're happy to hear this! We'll share it with the store's leadership so they can be commended. Thanks for shopping with us!",2016-02-16
"Spring blues take a nautical turn. #nothingbutdenim

Shop 1969 New Generation: https://t.co/lBYtmGKya0 https://t.co/EX8piUidR8",2016-02-16
"@Kathrynwood7 Sorry to hear this. Please try the Real Time Chat link for help!",2016-02-16
"@LawyerMom76 Sorry to hear this. Please call our Customer Service team at 1-800-GAP-STYLE so we can help!",2016-02-16
"@SDGatorfan Sorry to see this. Please give us a call at 800-GAP-STYLE so we can get a little more information. We're happy to help!",2016-02-15
"@siimplydixna Sorry to see this! It looks like it was fixed online. Thanks for bringing it to our attention!",2016-02-15
"@AdelsGrail Our Franchise locations are free to operate by their own rules.  We do our best to be consistent, but there may bed differences.",2016-02-15
"@ReeseOja We hate to hear this. Please email custserv@oldnavy.com or call 1-800-OLDNAVY so we can see if we can help.",2016-02-15
"@doubleu Follow the prompts as they relate to your concern and you will be directed to the appropriate department.",2016-02-15
"@abn2003 We are happy to look into this for you. Send us your order number. Thanks!",2016-02-15
"@Metzgergirl94 Sorry to hear this. Take them to the store and meet with manager. If the see that its defective, they can help. Thanks",2016-02-15
"@je_suis_sov We are happy to look at her order to see what is happening. Please send her order number so we can see if we can help.  Thanks!",2016-02-15
"@ShivaYerramsett Sorry for the inconvenience. We have shared this with the leaders over that store. Thanks for letting us know.",2016-02-15
"@BawlingOnBloor Send us an email to custserv@gap.com so we can help with this.  Sorry for the inconvenience.",2016-02-15
"@PetiteChablis Sorry to hear this. Take them to the store and meet with manager. If the see that its defective, they can help. Thanks",2016-02-15
"Soaking up the surf. #mondayblues #nothingbutdenim https://t.co/Wdi7rFsO4h",2016-02-15
"Spread love - today and every day. Ì†ΩÌ≤ï #gaplove https://t.co/Lc7CLRgGac",2016-02-14
"That Saturday feeling.

Shop #GapBody: https://t.co/dF7HoakgkG https://t.co/WxarJFiHEM",2016-02-13
"@chrisirwinart We're sorry to hear this. Give us a call at 800-GAP-STYLE so we can help. Thanks for letting us know!",2016-02-12
"@diopter We're concerned to hear about this. Give us a call at 800-GAP-STYLE so we can go over your return options. Thanks!",2016-02-12
"@gaucoin13 Oh no! Bring them to your local Gap store and a manager will be happy to issue a refund or exchange. Thanks for sharing!",2016-02-12
"@Stephlfield Sorry to hear this. Looping in @AskSynchrony so they can help. Thanks for being a cardholder!",2016-02-12
"@its_DanDan Sorry to hear about your disappointment. We'll share your feedback with our marketing leaders so they're aware. Thanks!",2016-02-12
".@mattcbauer packs a favorite denim jacket for a camping trip. #nothingbutdenim

See more: https://t.co/ahAHEpC8jw https://t.co/EldOjlj8zu",2016-02-11
"@Kristenvandine Sorry to hear this. Feel free to bring them to your local Gap store and a manager will be happy to help with an exchange.",2016-02-11
"@mattbunk Sorry to see this. Bring them to your local Gap store and a manager will be happy to assist you with this. Thanks for sharing!",2016-02-11
"@NCshopgirl Here's a link to our Gift Cards page: https://t.co/RW4tqBxvl5 You can check the balance there. Hope this helps!",2016-02-11
"Iconic Americana moments - celebrated w/ a return to our heritage. 

Shop #nothingbutdenim: https://t.co/Epw2RRtnLI https://t.co/KGD02kXFd0",2016-02-11
"Home is where you hang your denim. #nothingbutdenim

Shop our #1969denim jacket: https://t.co/C6vzgQO1pv https://t.co/itHgSwZ5gZ",2016-02-10
"@AudioArdor Sorry to hear you're frustrated. Employee services doesn't have an email address. 866-411-2772 is the only way to reach them.",2016-02-10
"@jamesguapamole Sorry to hear this. Take them to your local Gap store and if a manager deems them defective, they can issue a refund. Thanks",2016-02-10
"@arco5986 Oh no! Feel free to bring them to any Gap store and speak with a manager so they can help with a refund or exchange. Thanks!",2016-02-10
"@bavarianpretzel Thanks, this style only has the one color available. Give us a call at 800-GAP-STYLE if you need further assistance!",2016-02-09
"@RachaelLBrown0 Thanks for this. We see you were able to speak with our customer service department yesterday about this. Have a great day!",2016-02-09
"@lenakedindian Sure, send us the style numbers and the size you are looking for and we can try to see if one is available.  Thanks!",2016-02-09
"@claireallinson Thanks for calling this out. Can you call so we can make the most of your feedback?  1-800-OLDNAVY.",2016-02-09
"@KittyCat1964 Sorry Kate, We are looping in @asksynchrony for help with your credit cards account.",2016-02-09
"@bavarianpretzel Can you send us the style number and size you are searching for?  Thanks!",2016-02-09
"@LHElkins Sorry for the disappointment. Stores and outlets do carry different products. Call if you need further assistance. Thanks!",2016-02-09
"Blogger @happilygrey runs around w/ her dog wearing her favorite denim pieces. 

See more: https://t.co/ahAHEpC8jw https://t.co/qr31TXOkpk",2016-02-09
"@nichcook We are happy to look into this. Give us a call at 1-800-GAPSTYLE so we can get more information.  Thanks!",2016-02-08
"@m_f_m Try double checking  for exclusions. If that's not the problem, give us a call so we can help. 1-800-GAPSTYLE",2016-02-08
"@ADunnit We would like to speak with you about this.  Please call 0800 368 0674 from inside the UK. We can outline your options. Thanks!",2016-02-08
"@adkted2me Can you call us so we can get more details and make the most of this feedback?  1-800-GAPSTYLE. Thanks for your help!",2016-02-08
"@adkted2me We are so sorry. We don't see a record of talking with you regarding your last experience.",2016-02-08
"@xoxoLoveElle Sorry to hear this. Can you call us at 1-800-GAPSTYLE so we can get more info? Thanks!",2016-02-08
"@bobuddy Try double checking  for exclusions. If that's not the problem, give us a call so we can help. 1-800-GAPSTYLE.",2016-02-08
"@jambanpola Sorry, we don't have any information about a casting call yet.  Keep checking back.  thanks!",2016-02-08
"@MamaSallyHen We are so sorry to hear this. Please call us at 1-800-GAPSTYLE so we can get more information about this.  Thanks!",2016-02-08
"@RachaelLBrown0 Give us a call so we can make this right for you, and to ensure that the merchandise is not affected. 1-800-GAPSTYLE",2016-02-08
"@RachaelLBrown0 We would like to get your order number so we can follow up with our shipping company. We hate that this happened.",2016-02-08
"@AlexMeyer24 So sorry to hear this.¬†These are mailed out in bulk and can experience delays. Call us for help. 1-800-GAPSTYLE",2016-02-08
"Palm tree breeze and blue skies: the week is already looking up. #mondayblues #nothingbutdenim https://t.co/qtjD3Pgk5t",2016-02-08
"@Abu_Alfwariss We are happy to try to help. Give us a call at 1-800-GAPSTYLE.  thanks!",2016-02-08
"@ADunnit Gift Cards from U.S. can be used online, however, if you are in the U.K., they can only be used in a store location. We are sorry.",2016-02-08
"@tmmulrooney We are sorry for the difficulty with our sizing.  We are including a link to our sizing charts for your reference.",2016-02-08
"Brunch life before the big game (dedicated to that best friend who always steals a fry). #nothingbutdenim https://t.co/mkGyleDuMl",2016-02-07
"New fits. New fabrications. New favorites. #nothingbutdenim

Shop #1969denim: https://t.co/lBYtmGKya0 https://t.co/lWRA0ioNmB",2016-02-06
"@thecanvascrew Oh no! Feel free to bring them to your local Gap store and a manager will be happy to assist you with a refund or exchange.",2016-02-05
"@rlynch123 The items you selected may not be eligible. Check the usage details or call us at 800-GAP-STYLE. We're happy to help!",2016-02-05
"@MrsGruntwinkle We're sorry to hear about your frustration. Please call us at 0800 368 0674 so we can help. Thanks!",2016-02-05
"Sunrise &amp; surf check for Jamie Bauer. #nothingbutdenim 

See more of her look at https://t.co/ahAHEpC8jw https://t.co/LHFjLXR6pq",2016-02-05
"@MargretGeraghty We don't have any specifics on this, but we'll share your feedback with our merchandising teams so they're aware. Thanks!",2016-02-05
"@CFJoeyB We're sorry to hear this. Can we have your order number so we can see what happened? Thanks!",2016-02-05
"@ilyruu We're sorry to hear this. Bring them to your local Gap store and a manager will be happy to assist you. Thanks for letting us know!",2016-02-05
"@ChelleMoraga Sorry to hear this. We try to restock popular products quickly for our customers. We'll share your feedback with our merchants",2016-02-05
"Inspired by palm trees and beach vibes that give a nod to great Americana moments of the past. #nothingbutdenim https://t.co/peWZ9ISg8f",2016-02-04
"@ILuvFoodstamps sorry to disappoint. It appears to be out of stock. We encourage you to check back to see if we have received more. Thanks!",2016-02-04
"@RowieBee These are great leggings. Sadly they have sold out. We don't have more on order, but hope you will find another pair you love! thx",2016-02-04
"@CasieNotKc We can look at your order for you. Call us at 1-800-GAPSTYLE",2016-02-04
"@SomeoneScammed Sorry to hear this. Take them to the store and meet with manager. If the see that its defective, they can help. Thanks",2016-02-04
"@mollyematthews We're sorry for any disappointment you've encountered. We'll share your feedback with our marketing leaders so they're aware",2016-02-04
"Let your #GapFit workout gear inspire you. #StyldBy 

See more of her looks at https://t.co/ahAHEpC8jw. https://t.co/36I4kZ1BPV",2016-02-04
"@kyliemav We agree!",2016-02-03
"Photographer @itsmattbauer starts his day w/ a sunrise surf check #nothingbutdenim See more: https://t.co/ahAHEpC8jw https://t.co/LBtzPEbTfT",2016-02-03
"Comfort on point: our marled pocket sweatshirt.

Shop it here: https://t.co/iqKYR9k5M4 https://t.co/rGJkWe7Q8e",2016-02-03
"@NastyYungGod Your best source for this info is your store manager.  Thanks!",2016-02-03
"@moderatemama For complete details about our policy, give us a call at 1-800-GAPSTYLE.  Thanks!",2016-02-03
"@212degreesnow give us a call at 1-800-GAPSTYLE. We are happy to give you more info about our policy. Thanks!",2016-02-03
"@sunilgubbi_  Email us at custserv@gap.com with details of your concern and your phone number. We will have someone call.",2016-02-03
"@kindafunnygirl Sorry to disappoint Jen, we shared this feedback with Marketing for you.  Thanks!",2016-02-03
"@PeteMorse Sorry for the inconvenience. We have shared this with store leaders for you. Thanks for letting us know.",2016-02-03
"@MrAmbz Sorry to hear this. Take them to the store and meet with manager. If the see that its defective, they can help. Thanks",2016-02-03
"Pick a wash. Add your style. Wear it your way. #nothingbutdenim

Shop the Crop Kick Jeans: https://t.co/muOYBsV69k https://t.co/BglCCZnnmK",2016-02-02
"@ComradeIzzy We're sorry to see this. Feel free to bring it to your local Gap store and a manager will be happy to go over your options.",2016-02-02
"All denim everything. #nothingbutdenim

Shop new arrivals: https://t.co/Epw2RRtnLI https://t.co/q82ln5KjlA",2016-02-02
"@heatherlovesit Sorry for the confusion. We'll share your feedback with our merchandising leaders so they're aware. Thanks!",2016-02-01
"@SpiffyPenguin24 The items you selected may not be eligible. Make sure you check the usage details or call us at 800-GAP-STYLE. Thanks!",2016-02-01
"Riding that Monday wave. #mondayblues #nothingbutdenim https://t.co/u3tSX315pO",2016-02-01
"@VAinTO Sorry for this. Can you send more details so we can share this feedback to our online leaders. Email us at custserv@gap.com. Thx!",2016-02-01
"@fawny517 We sent you an email to thank you for your help. ; )",2016-02-01
"@fawny517 Thanks Fawn. We will follow up with the distribution center. Thanks for giving us the needed info. We are working to improve this.",2016-02-01
"@jaejucee  So sorry. Please give us a call so we can get more info. We want to see how we can help.  1-800-GAPSTYLE.  Thanks!",2016-02-01
"@thecazbah Sorry you are still having difficulty with your jeans. Please call us at 1-800-GAPSTYLE so we can see how we can help. Thanks!",2016-02-01
"@SoundGuyAndy Please send an email outlining your experience to custserv@gap.com, Attn: Twitter team.  We will look into this for you. Thx!",2016-02-01
"@Psychic_Tony So sorry. Please give us a call so we can get more info. We want to see how we can help.  1-800-GAPSTYLE",2016-02-01
"@KaireB We don't have any dates for that right now, however, the best source for this info is you local store.  Give them a call.  Thanks!",2016-02-01
"@beeemesss Oops! Thanks for pointing this out. I forwarded for correction.",2016-02-01
"@fawny517 We are so sorry for this. Please let us know the order # so we can follow up. Your local store Mgr can help with this.",2016-02-01
"@friendlysoviet sorry for the  difficulty.  Check exclusions for the promo. If this is not the problem, give us a call so we can help. Thx.",2016-02-01
"@SJTeacup Sorry to hear this. Take them to the store and meet with manager. If they see there is a major difference, they can help. Thanks",2016-02-01
"@HaliDawnLedford We don't have this jacket available, but we can pass this along to our design team for review.  Thanks for reaching out.",2016-02-01
"@ThisIsCooley  So sorry. Please give us a call so we can get more info. We want to help.  1-800-GAPSTYLE",2016-02-01
"@ProfessorSheyda We are so sorry for this. Please let us know the order # so we can follow up. Your local store Mgr can help with this.",2016-02-01
"LA skater @sierra_prescott views denim as both stylish &amp; functional. 

See more epic shots: https://t.co/ahAHEpC8jw https://t.co/pM7NrqRThO",2016-01-30
"1969 New Generation is here: denim in all your favorite fits and washes.

Shop the line: https://t.co/lBYtmGKya0 https://t.co/1bDapuBDig",2016-01-29
"@themosshart Sorry to hear this. Send us an email at custserv@gap.com with the details. We're happy to help!",2016-01-29
"@lenakedindian Hi there, visit https://t.co/09gUyCS0ct to search for the item or you can call us at 800-GAP-STYLE. We're happy to help!",2016-01-29
"@R_Dub_Sr We're sorry to hear this. We'll share your feedback with the store's leadership team so it can be addressed. Thanks!",2016-01-29
"@rosemontag_ Hi there. It can take up to 10 business days or 1-2 billing cycles for a credit to post. 800-GAP-STYLE if you need help.",2016-01-29
"Stepping back into another era with this timeless blue ride. #nothingbutdenim https://t.co/SKFcmzWqRs",2016-01-28
"@lil_maz_17 Oh no! Bring it to your local Gap store and a manager will be happy to assist you with a refund or exchange. Thanks!",2016-01-28
"@SummerSBranch Hi there, we recommend speaking with your supervisor or call employee services at 866-411-2772. Have a good day!",2016-01-28
"@Jayson510 Sorry to hear this. We'll loop in @AskSynchrony so they can help with this. Thanks for being a cardholder!",2016-01-28
"Undoubtedly classic, forever cool. 1969 denim moments ‚Äî share yours with #nothingbutdenim. https://t.co/2Kto4vwkx7",2016-01-28
"@Br0nya We're sorry to hear this. Try clearing your cache of cookies or use a different internet browser. 0800 368 0674 if you need help.",2016-01-28
"@KNconsultingllc Sorry to hear this. Can you send us your order number so we can see if there are any updates? Thanks!",2016-01-28
"@TheStyleBoro It does exclude women's 1969 jeans. We hope this helps. Happy shopping!",2016-01-27
"@AustinHunt Real recognizes real.",2016-01-27
"@junepuun If you click on my account in the top right-hand corner of https://t.co/09gUyCApkV, you will see an option to ship internationally",2016-01-27
"@LadyKLuckxxx Hello. Merchandise purchased in a retail store must be returned to a retail store and factory items to a factory store.",2016-01-27
"A timeless denim jacket is always a good idea. #nothingbutdenim 

Shop jeans for Spring: https://t.co/Epw2RRtnLI https://t.co/bHRxWy4tti",2016-01-27
"@Dougwyman425 Thanks for sending this. We are sharing it with marketing so they know how our promos are being received. Sorry to disappoint.",2016-01-27
"@bitty_boop We are looping in @asksynchrony for help with your credit card account. Thanks!",2016-01-27
"@lisadom912 We are sorry for any inconvenience. Outlet items can only be returned in outlets. Call and we can try to help.  Thanks!",2016-01-27
"When @spingalnichelle is confident &amp; comfy in her #GapFit, she works harder too.

See more: https://t.co/ixjZqLwxWE https://t.co/Le1TGur2iY",2016-01-27
"@JoelCannone Sorry for any confusion this may have caused. We forwarded your comments to our marketing team for review. Thanks!",2016-01-27
"@BoulderSarahV Sorry for any disappointment with this promo. We forwarded your comments to our marketing team for review. Thanks!",2016-01-27
"@krononsa You can also order straight from your phone.  We can help you place an order here at 0800 368 0674 from inside the UK.",2016-01-26
"@krononsa You may want to try clearing your cache and cookies and restarting you browser, or try a different browser.  Hope this helps.",2016-01-26
"@Gaurav_SMC We are sorry to hear this. Please contact us at 1-800-GAPSTYLE so we can help.  Thanks!",2016-01-26
"@emy_onda Emily, please email custserv@gap.com.  Thanks!",2016-01-26
"@MmpMarcello I have reached out to our merchants for more details on this tank.  thanks for your patience.",2016-01-26
"@jessiepjones Oh no! Please give us a call at 800-GAP-STYLE so we can get more information. We're happy to go over your options. Thanks!",2016-01-26
"@sunilgubbi_ Sorry to hear this. We'll loop in @AskSynchrony so they can assist you with your credit card. Thanks for being a cardholder!",2016-01-26
"@Altony_X We're sorry to hear this. Feel free to send us an email at custserv@gap.com with the details. We're happy to help!",2016-01-26
"@BoyleKei We're sorry to hear this. Can you let us know which store you visited so we can notify their leadership teams? Thanks!",2016-01-25
"@CapnMaggie7 Hi, you managers are the best source for these concerns.  Thanks!",2016-01-25
"Malibu blues‚Ä¶how all Mondays should start. #mondayblues https://t.co/SD6jtO2ceI",2016-01-25
"@R4chIOW So sorry, Our tall selection is sold online only.  Here are some of the items available in tall size. https://t.co/TOw8LzoWxE",2016-01-25
"@slichtor You can call any time, or email us at custserv@gap.com.  Thanks for your patience.",2016-01-25
"@kyleeserlin We would like to get more details. Please call us at 1-800-GAPTYLE.  Thanks!",2016-01-25
"@JillRosenthal Our customer service number is 1-800-GAPSTYLE.  We are sorry if you had incorrect information. Hope to hear from you.",2016-01-25
"@Fayebelline1 So sorry. Please give us a call so we can get more info. We want to see how we can help.  1-800-GAPSTYLE",2016-01-25
"@Claire7584 Sorry to see this. Take it to the store and meet with manager. If the see that its defective, they can help. Thanks",2016-01-25
"@dissonnannce We are sorry to hear this. We recommend you meet with the general manager for help, or call us at 1-800-GAPSTYLE. Thanks!",2016-01-25
"@emilytimes5 We are unsure why this happened. Please send your order number and we are happy to see if we can help.",2016-01-25
"@MmpMarcello  We are happy to check on this for you. Can you send a screenshot for us? Thanks",2016-01-25
"@TabithaKTomko This item will not be restocked. Sorry to disappoint. Here are some other colors you may like:  https://t.co/uLBh56SwRR",2016-01-25
"@audreysinead Please email custserv@gap.com, Attn: Twitter team.  Thanks!",2016-01-25
"@Alana_L_Morris Call the store to explore your options. Online returns have 45 days, however email confirm will not serve as a receipt.",2016-01-25
"@thecazbah You can still take it to the store.  Our managers can replace or refund once they see it is defective.  Thanks for your patience.",2016-01-25
"@audreysinead We hate to hear this. Send us your phone # and we can get a supervisor from Synchrony Bank to help.  Thanks!",2016-01-22
"Packing for a quick weekend getaway. What's on your weekend agenda? #gaplove

Shop the vest: https://t.co/Voqkz0XIRI https://t.co/1iJcvZQE2S",2016-01-22
"@thecazbah We're sorry to hear this. Feel free to bring them to your local Gap store and a manager will be happy to assist you. Thanks!",2016-01-22
"@jordansaweirdo We're sorry to hear this. Feel free to bring them to your local Gap store and a manager will be happy to assist you. Thanks!",2016-01-22
"@ivyhawkins Hi there, we show a promised delivery date of no later than 1/29. We'll do everything we can to ensure it's delivered by then.",2016-01-22
"@TheAsherBailey We're happy to help. Can you email some details to custserv@gap.com or call 800-GAPSTYLE? We want to see what we can do.",2016-01-21
"@bornstaubtab We want to help. Please submit your Tweet in English for us. You can also email us at custserv@gap.com",2016-01-21
"Since 1969, we‚Äôve committed to community. In 2015, @GapInc employees volunteered 500k+ hrs. https://t.co/gduNfHIof2 https://t.co/4im3fFdqUD",2016-01-21
"@ken2ts Thanks! We will get this to the leadership. They will ensure this is handled better going forward.",2016-01-21
"@judezhulife your promised delivery date is 1/25.  If you do not have it by this time, please call us at 1-800-GAPSTYLE so we can help. Thx!",2016-01-21
"@ken2ts We are sorry for the long check out time. Please let us know which store so we can make the most of your feedback.  Thanks!",2016-01-21
".@damselindior goes from a run to a juice bar w/ friends - all in one outfit.

Shop #GapFit: https://t.co/preDgxPae2 https://t.co/4lO45Igjqs",2016-01-21
"It's hard to beat a morning that starts like this. #gaplove. https://t.co/rZydApRaa4",2016-01-21
"We love winter gray (especially with a cozy knit). 

Shop this denim: https://t.co/nTnN9mnDyZ https://t.co/xiH8SEtEzT",2016-01-20
"@PoorLilItGirl Love this post! Thanks for sharing.",2016-01-20
"@JohOstrum Thanks for this feedback! We have shared it with our merchandising team. Sorry for the disappointment.",2016-01-20
"@bymyelf Sorry to hear this. Take them to the store and meet with manager. If the see they're defective, they can help. Thanks",2016-01-20
"@goksuadanali We're sorry to hear this. Give us a call at 800-GAP-STYLE so we can go over your available options. Thanks!",2016-01-19
"@__shayma__ We're concerned to hear about this. Please call us at 0800 368 0674 at your earliest convenience so we can help. Thanks!",2016-01-19
"@Kerrie_Mcgahan We're sorry to hear this. We'll share your feedback with our online leaders so they're aware. Thanks for shopping with us!",2016-01-19
"Wardrobe refresh - with all the neutrals. 

Shop new arrivals: https://t.co/1UC7LF5CDa https://t.co/Vz2CBgEkME",2016-01-19
"@chgdiapers Sorry to see this Please take the shirt to your local store and speak to a manager.",2016-01-19
"@KipSheen We're so happy to hear this. Thanks for taking the time to share your compliments with us!",2016-01-19
"@Erikah999 Sorry to hear this.Did your credit card number or account change in any way? Plz send an email to custserv@gap.com so we can help",2016-01-19
"@BackroadAddict Sorry to hear this. We'll be happy to talk to you more about your store experience. Please call us at 1-800-GAP-STYLE.",2016-01-19
"@FlightDoc1989 We're concerned to hear this. Please call our Customer Relations team so we can help. 1-800-GAP-STYLE.",2016-01-19
"@cflynn2 We're very concerned to see this. Can we please get your order number?",2016-01-19
"@richard_larue The sweater is available on our US site https://t.co/hAoVg4m6Sa. I hope this helps!",2016-01-19
"@PatrickBW Sorry to hear this. What location were you visiting?",2016-01-18
"@GeorgeByott We're sorry to hear this has been your experience. We appreciate you taking the time to contact us to share your experiences.",2016-01-18
"@ryanmcelroytv We're sorry to hear this and are sharing your comments w/store leadership . Thanks for taking the time to share your concerns",2016-01-18
"@LisaQuake Sorry to hear this. Can we please get your order number so we can look into this?",2016-01-18
"@rommelparas Please call our Customer Relations team at 1-800-GAP-STYLE. They may be able to look up your receipt with your credit card #.",2016-01-18
"@Abu_Alfwariss Please give us your order number so we can look into this for you. The number you provided is tracking.",2016-01-18
"@TRStanley16 Give us a call at 1-800-GAP-STYLE. We can try to find them at a store for you.",2016-01-18
"Daydreaming of surf and sand. #gaplove

Shop the shirt: https://t.co/5HMUQmQ1HY https://t.co/QftLt4wg6Z",2016-01-18
"@gpfffff Sorry to hear this. Send us an email to custserv@gap.com so we can look into this for you. Thanks!",2016-01-18
