"urbantext","date"
"Morning. ‚úåÔ∏è https://t.co/FR6eDr4jdC",2016-03-26
"One of those dresses you'll want to wear everyday: https://t.co/X5tgGDcZxk",2016-03-25
"The skirt of the season is here (finally) Ì†ΩÌ≤ô https://t.co/j0LIMRkeZk",2016-03-25
"We're a little obsessed. https://t.co/nSrZLIfsmD https://t.co/J4TfGnpqGK",2016-03-25
"It's hard work being a touring band. @thebritanys tell us how they wind down: https://t.co/5wVawbQHa9",2016-03-25
"Customize, mix, and match. The @stilacosmetics Lip + Cheek Palette makes it easy Ì†ΩÌ±â https://t.co/fk7kcbfwZr",2016-03-25
"""Whatever music I have on when I work really influences the mood of my piece."" @whatagoodpup https://t.co/AuQYMMgnCH https://t.co/HpONTtNYsv",2016-03-24
"We found your new go-to fragrance. Ì†ºÌº∑ https://t.co/gIzdNFdb6c https://t.co/v3CKt89Inp",2016-03-24
"The best chinos are now available in new colors for a new season Ì†ΩÌ±â https://t.co/7pDWhGXVsh https://t.co/cCL5QvThNL",2016-03-24
"Wondering how to keep your houseplants thriving? Read on: https://t.co/nPmqcavgsa",2016-03-22
"Only at UO! Shop the exclusive In Bloom collecton of Lip Tars from @occmakeup: https://t.co/R1N07uwpYA https://t.co/G9STQQohpT",2016-03-22
"""Then, under a full moon, I did a dance and Major Moonshine was born."" https://t.co/sBJSVnkKWC https://t.co/32cCovXkRW",2016-03-22
"@JenessaGracee WE LOVE YA",2016-03-22
"@_Cammster04 HAYYYy Ì†ΩÌ±ã",2016-03-22
"Have a scroll through paradise. https://t.co/Vhk3QM3Usn https://t.co/tdmtLgqJgP",2016-03-22
"@_MoniqueMary OMG",2016-03-22
"@HollieYoungg Looks like your order is from our UK site. You can tweet at @uoeurope or email UrbanEuropeCS@urbanoutfitters.com for help.",2016-03-22
"It's that time of year. Ì†ºÌº∑ Floral dresses for DAYS: https://t.co/NumarEXC4y",2016-03-22
"Our picks for the new season Ì†ΩÌ±â https://t.co/OQeXyfqNvS https://t.co/fVv8M2RwSz",2016-03-22
"@_millieoldham omg Ì†ΩÌ≤ï",2016-03-22
"@stephcarr1507 I'm sorry to hear about your experience shopping online with us. Please confirm the issue so that I may further assist you.",2016-03-22
"Spritz, spritz. New Hair + Body Mist keeps us feeling fresh as a spring day: https://t.co/wMH14Z8pNO https://t.co/bmi5VpiCOS",2016-03-21
"""What makes the perfect t-shirt?""
""Simplicity.""
https://t.co/t0OvQpdy9d https://t.co/1SyyL617XF",2016-03-21
"Don't leave home without 'em: https://t.co/Ac9QubW2Q8",2016-03-21
"@purposecandy Sunday!",2016-03-21
"@caseeeyfitz Ì†ΩÌ±ã",2016-03-21
"What happened when @djkhaled, @youngthug + more partied with us and @CalvinKlein in Austin: https://t.co/zaSiSbQx6I https://t.co/X5ReR0NQRr",2016-03-21
"@sophcab good tbh you're a ‚ú® star ‚ú®",2016-03-21
"Ì†ºÌº¥‚ú®Ì†ºÌº¥‚ú®Ì†ºÌº¥ https://t.co/HgZIc68ef3 https://t.co/2rRuiqbZC3",2016-03-21
"Ì†ΩÌ∏åÌ†ºÌæ∂ https://t.co/71L9g1gkKE",2016-03-21
"Perfect days are spent in this dress Ì†ºÌº∑ 20% off right here: https://t.co/D924MglELR https://t.co/T0gvSybQpJ",2016-03-21
"Round 3 of the UO-Exclusive Artist Editions tees are here with 6 designs from 3 new artists: https://t.co/VGLUfzWspV https://t.co/C6sV8mOx8B",2016-03-21
"It's SPRING (finally) and we're celebrating with the Spring Sale! So many deals right here: https://t.co/1jdczwsTvO https://t.co/0dt9Z425IR",2016-03-21
"@Orianamarierose Ì†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ï",2016-03-21
"@cassieleigh27 ‚ú®Ì†ºÌº∑",2016-03-21
"@x3katherine well.",2016-03-21
"ICYMI: Select bras are now only $20! You need these: https://t.co/lfz2C8vZLW",2016-03-20
"Good morning, sunshine. Good morning, dinosaur. https://t.co/7XfdehP9dY https://t.co/jA3Xs5RGZP",2016-03-20
"Saturdaze. Ì†ΩÌ∏¥ @uonewyork https://t.co/Qs8j1NjJHj",2016-03-19
"Instax from $70? Yep. Shop the Spring Sale now: https://t.co/GrjfF2tym0 https://t.co/LTrhmN3wFr",2016-03-19
"Our fave facial mask is only $4: https://t.co/quJ3ogKhwu",2016-03-19
"Hello, Austin. ‚úåÔ∏è Here's the #UOLive line-up for today! Will we see you there? All shows are FREE and all ages. https://t.co/375Mz0GkxX",2016-03-19
"Looks like a perfect weekend to us: https://t.co/HQx0cXfvjp https://t.co/5lKqKxiy0y",2016-03-18
"Hello, we love you. https://t.co/E88logsmoi https://t.co/w85B9rAC5X",2016-03-18
"If you're hitting up any UO Live in Austin shows, don't forget to use #UOLive on Twitter and IG! We wanna see how much fun you're having Ì†ºÌæ∂",2016-03-18
"UO-exclusive. @Stussy https://t.co/Zr0NaRnbvc https://t.co/JmgXSeTn85",2016-03-18
"AUSTIN! Today at @Space24Twenty from 3-6pm: Test the new Spray Nail from @milkmakeup, then watch @samandude perform! See ya there. #UOLive",2016-03-18
"The SPRING SALE is on now! 20% off dresses and so much more, online and in stores: https://t.co/FAuPyMJqtG https://t.co/qv82QzMzDw",2016-03-18
"So...this happened: @youngthug was the surprise guest at the @CalvinKlein + #UOLive show! Watch on Ì†ΩÌ±ª: URBANOUT https://t.co/tDHpKepyhk",2016-03-18
"We are now at capacity! Get ready for this. Ì†ΩÌπåÌ†ºÌøºÌ†ΩÌ¥ëÌ†ºÌæ∂ Follow us on Snapchat now: URBANOUT ‚úåÌ†ºÌøºÔ∏è",2016-03-17
"Almost full. Ì†ΩÌ¥ë Get to @Space24Twenty soon if you want in! 21+. https://t.co/ioREbmw4KU",2016-03-17
"IT‚ÄôS HAPPENING. Get to @space24twenty NOW to join in on a very special party all night long. Must be 21+! Ì†ΩÌ¥ë https://t.co/KOtEDcr4N3",2016-03-17
"@Crwdickerson @Space24Twenty yep",2016-03-17
"ONE MORE HOUR until the secret event! Get to @space24twenty at 6pm! Max is 150 people, so arrive early. 21+. Ì†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ë https://t.co/kagnQiK6qh",2016-03-17
"See yourself in new sunnies ‚ö°Ô∏è https://t.co/bOmo9OZlhC https://t.co/6uuPRpLvS1",2016-03-17
"""Way more art. Way more experience. Way more tangibility."" @DUCKWRTH https://t.co/HNx2WW33hV https://t.co/Wmwe9hcOXz",2016-03-17
"Fill that empty space on your wall with this: https://t.co/QoeKxa5qBc",2016-03-17
"@PETITE_NOIR @PigsAndPlans @Dominorecordco ‚ù§Ô∏èÌ†ΩÌ±åÌ†ºÌøº",2016-03-17
"Become the Ì†ΩÌ≤ã emoji IRL. Here's how to make it work: https://t.co/6YrHeT3htx",2016-03-17
"Today, ALL dresses are 20% off for Urban On members! Not a member? Sign up here: https://t.co/LhMZj1wOYC https://t.co/HJMOTuPddG",2016-03-17
"AUSTIN.
TONIGHT.
Meet at the @space24twenty at 6pm sharp for a surprise you won‚Äôt want to miss! (Trust us.) 
Ì†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ë https://t.co/7EXvPH4N5K",2016-03-17
"Online now: the @adidasoriginals Colorblock Tubular Defiant Sneaker. Don't miss out Ì†ΩÌ±â https://t.co/cs9kJJbGll https://t.co/sMi2Er7XFT",2016-03-17
"@Dan_Petrie I'll be glad to help you! To begin, please DM us your order number.",2016-03-17
"@chloe__harvey Looks like the order is from our European site. You can tweet at@uoeurope or email UrbanEuropeCS@urbanoutfitters.com for help",2016-03-17
"@marianunez64 @carseatheadrest yep! Ì†ΩÌ≤ï",2016-03-17
"AUSTIN! Meet at @Space24Twenty tomorrow at 6pm sharp for a surprise you do NOT want to miss. 21+!
Ì†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ëÌ†ΩÌ¥ë https://t.co/GkWUPaI3r3",2016-03-16
"Time for a room refresh. https://t.co/mIlliT9ZZJ https://t.co/b8d41bStXN",2016-03-16
"Everything good comes back again. Shop the '70s-influenced collection now online: https://t.co/QC67er09hq https://t.co/fUmVLA0Ld7",2016-03-16
"""I invite my viewers to take what they see and make it their own."" https://t.co/2FlCf01elx https://t.co/UtPnWaJApm",2016-03-16
"Feelin' these spring dresses because the sun is (FINALLY) shining: https://t.co/7gQke7EIBM",2016-03-16
"@jwall4 Ì†ΩÌ∏Ç‚úåÔ∏è",2016-03-16
"Your new fave playlist is here: UO Mixtape Volume 14 is out now! Stream it right here: https://t.co/Zz7cif4Ygp",2016-03-16
"@marcvetri Ì†ΩÌπå",2016-03-16
"Austin! If you're 21+, get to @space24twenty tomorrow @ 6pm for a surprise. We can‚Äôt say why yet, but trust us: you'll regret missing this.Ì†ΩÌ¥ë",2016-03-16
"TOMORROW. We‚Äôre releasing a limited number of @adidasoriginals #NMD Runners in select stores only! Find them here: https://t.co/hVlMyefjby",2016-03-16
"Activewear so cute it'll make you want to get moving: https://t.co/v0ENNAuHDF",2016-03-16
"@lanabex omg have fun",2016-03-16
"Hello, new @occmakeup Lip Tars. Ì†ΩÌ∏ç These are the shades you can only find at UO: https://t.co/lhY83DrkcP #UOBeauty https://t.co/gVriXa1lqx",2016-03-16
"@rachelharvey10 If you don't mind, please DM your order# and email address so we can help you out. Thanks!",2016-03-16
"Btw, we'll be snapping at #UOLive in Austin! Follow us at URBANOUT Ì†ΩÌ±ª to see what we're getting up to.",2016-03-16
"TODAY! Here's the lineup for #UOLive in Austin, Day 1. Remember: all shows are FREE and all ages. See you there! ‚úåÔ∏è https://t.co/Fm0suOSuRp",2016-03-16
"@JBlaize17 If you don't mind, please DM your order# and email address so we can help you out. Thanks!",2016-03-16
"""I was basically a bedroom DJ and I started collecting any weird things I could find."" https://t.co/O6p2YLQfNZ https://t.co/4zEShfxRs5",2016-03-12
"Florals for spring? Well, yeah. New Petal Oils are online now (and they smell SO good): https://t.co/znWZfagmcK https://t.co/T4k3oOUi9e",2016-03-12
"Go ahead and show a little skin: https://t.co/tLlafoczFA",2016-03-12
"Do you have yours yet? https://t.co/kSlEmHcRjz
@CalvinKlein #mycalvins https://t.co/wSjDAA8unK",2016-03-11
"$10 for three of our fave lip glosses ‚ú® https://t.co/qrZGbGFqyp",2016-03-11
"""At this point in my life, I want to make something that's totally my own sound."" @CullenOmorii on the Blog: https://t.co/wTwnw3BWKw",2016-03-11
"Trusty travel-sized beauty picks to pack in that festival bag of yours: https://t.co/v2ltWgvpJz",2016-03-11
"Give your walls some love. https://t.co/Fy2xADOIL4 https://t.co/dFLFSnJHL8",2016-03-11
"Ì†ΩÌ±â 5 for $25: https://t.co/bq8N4Ut5br Ì†ΩÌ±à",2016-03-11
"@saluthelen to be fair that song can make anyone cry on a good day",2016-03-11
"Confession: We're a little obsessed with facial mists. Hydrate and refresh with our faves: https://t.co/xyeEbjaT8Z https://t.co/Fa6Se6jJKJ",2016-03-11
"Because there's nothing like finding the perfect tee: https://t.co/uBjAl1PLvP https://t.co/KuBGqnorYf",2016-03-10
"All we want to wear on warm days...https://t.co/tpBQyE1ibP https://t.co/7CygWOJUOc",2016-03-10
"Get to know the brand new collection of UO-exclusive trainers: https://t.co/oXq3cBAZKa https://t.co/Bk04olCW6p",2016-03-10
"""Don't be afraid to fail. It's the only way you'll get better."" @maxwanger https://t.co/eur9pmJT1t https://t.co/8Vei1nfST3",2016-03-10
"Mix. Match. Repeat. https://t.co/Xee65l0ifp https://t.co/iRTTbQSxxY",2016-03-10
"Heading to UO Live in Austin next week? You must try these food trucks: https://t.co/9Z9qcAjPkw https://t.co/hGZvbKJVR8",2016-03-10
"Don't forget to follow UO Beauty on Instagram, and use #UOBeauty for a chance to be featured! Ì†ΩÌ≤ãÌ†ΩÌ≤Ö https://t.co/ySQDx0LpZp",2016-03-10
"So many sunnies for so many sunny days ahead: https://t.co/trt1DUvA8u",2016-03-10
"If nothing else, brows are a must: https://t.co/8TOFiUPaVU https://t.co/cM5owY7wYW",2016-03-09
"Fact: weather over 70 degrees calls for denim shorts. Ì†ΩÌ≤ô https://t.co/nKZ8OKN1Ev https://t.co/zxDW84cF39",2016-03-09
"@lillya2 WHEN I WAS A YOUNG MAN MY FATHER TOOK ME INTO THE CITY",2016-03-09
"""The roots I desire are within myself, and I can make anywhere home to me."" https://t.co/HeIqlTYx7J https://t.co/umHYBRCU6v",2016-03-09
"@RussellHayden_ DON'T BE AFRAID Ì†ΩÌ≤ô",2016-03-09
"@mattyloggy Ì†ΩÌ±å",2016-03-09
"Dresses for days like this: https://t.co/o25IKzegq8",2016-03-09
"""I try to make it a point to not really do anything just because it‚Äôs cool."" @daywavemusic https://t.co/0aTcFVQXgZ https://t.co/TRz5xLYBPZ",2016-03-09
"@lillieeee_ omg love u",2016-03-09
"Because we've got baseball on the brain...https://t.co/skirGrYEel https://t.co/6y1nV1ERPc",2016-03-09
"Time for a room makeover? Yep: https://t.co/9HfbKlCo02",2016-03-09
"@heartouthaIsey If you don't mind, please follow us back and DM your order# and email address so we can assist. Thanks!",2016-03-09
"‚ú® https://t.co/tlsFXMm86i https://t.co/ZRPEYxTMZZ",2016-03-09
"Only at UO: https://t.co/cuzadDsOO7 https://t.co/4aXF4qOH2r",2016-03-08
"Get to know the ladies in @hindsband (playing UO Live in Austin!) on the UO Blog: https://t.co/LNc1FTAG9Q https://t.co/n9LzbGoxBD",2016-03-08
"When your favorite beauty products are under $10 Ì†ΩÌπåÌ†ΩÌπåÌ†ΩÌπå https://t.co/VL5HzpD2AL",2016-03-08
"Ì†ºÌ∂ï @XLARGE_US Ì†ΩÌ±å https://t.co/xG1bI2VqVt https://t.co/fU1F6tXpQM",2016-03-08
"Farewell, blackheads. Ì†ΩÌ±ã https://t.co/PjiWtC859O",2016-03-08
"Pretty colors + strappy back = new favorite. https://t.co/JIksWsgEzU https://t.co/VVWajeBK2h",2016-03-08
"@tylerfromnj Please email us a screenshot of the survey you've completed to service@urbanoutfitters.com. Thanks!",2016-03-08
"Celebrating ladies we love on #InternationalWomensDay: Sisters Natasha + Ashley James. https://t.co/pSgH5LLJqs https://t.co/mCNgLjsCCE",2016-03-08
"UO Live in Austin is just 8 days away! See the line-up here: https://t.co/009nHKr0Xt",2016-03-08
"Planning your festival trip? Bring these with you: https://t.co/oOAj5BQgeb https://t.co/VC45oDebuq",2016-03-08
"$10 or less for #UOBeauty must-haves: https://t.co/3NGlYl9dnT",2016-03-07
"Hello, favorite bra of all time: https://t.co/L6eJsnAnpv",2016-03-07
"Counting down to spring in these lightweight florals Ì†ΩÌ±â https://t.co/AssgbM3VD7 https://t.co/2Jk4m8Rh1j",2016-03-07
"‚ÄúStyle was everything. That‚Äôs what skateboarding was. It was style.‚Äù @hughholland https://t.co/QfUPZYX8LP",2016-03-07
"This week's color palette: https://t.co/ipmj5vNFNX https://t.co/V1xFKrPNZ5",2016-03-07
"Don't panic: the T-Rex pool float you've always wanted is right here. https://t.co/VC85Rl49u2",2016-03-07
"Ì†ΩÌ≤ô  https://t.co/EePhldabOp",2016-03-07
"Today is the LAST DAY to get 15% off vinyl for Urban On members! Ì†ºÌæ∂ Shop while there's still time: https://t.co/rhub2ahIKN",2016-03-07
"@WGilchrist1213 If you don't mind, please DM your order# and email address so we can help you out. Thanks!",2016-03-07
"@Labookay I'm sorry for the trouble. At this time, we're working to fulfill your order and will ship it as soon as possible.",2016-03-07
"Don't forget! Urban On members get 15% off vinyl in stores &amp; online. Not a member? Sign up: https://t.co/w7qxIA6oDX https://t.co/Rv8eRnl4Rx",2016-03-07
"UO Live in Austin starts in TEN DAYS!
26 bands, 4 days. FREE + all ages.
See the line-up: https://t.co/mBEuzzitgn",2016-03-06
"Perfect for showing off your collection of knick-knacks you just can't part with: https://t.co/0QRQG3sm8q",2016-03-06
"‚ÄúThe whole point of art is that you don‚Äôt have to talk. Language gets in the way.‚Äù https://t.co/Emx46jiqqk",2016-03-05
"Glittery hair is a festival necessity, if you ask us. Ì†ΩÌ≤ô https://t.co/VuwqdgPIqw",2016-03-05
"LA: @globelamp and @k_crutchfield are playing a free show @Space15Twenty today from 2-4pm!
Bonus: Urban On members get 15% off vinyl! ‚úåÔ∏è",2016-03-05
"Good morning. Ì†ºÌæ∂ Urban On members take 15% off ALL vinyl for a limited time! https://t.co/M05cv5aXMg https://t.co/xfNwOHCkSE",2016-03-05
"Oh hey, weekend. ‚úåÔ∏è https://t.co/6dOVG6BpaG https://t.co/xLnxl1h1Ok",2016-03-04
"Must. Have. @adidasoriginals https://t.co/TixrfAFOev https://t.co/EbuS3c4MZn",2016-03-04
"Bold shapes + bright colors by LA-based photographer @george_byrne, now on the UO Blog: https://t.co/xmavlEi0KE https://t.co/xTF4rbNhZn",2016-03-04
"GASP. New scents in our favorite-ever body oil are now available! https://t.co/YFY4OXSdf1 https://t.co/vbeFzXSoNK",2016-03-04
"Don't forget: All Urban On members get 15% off vinyl for a limited time! Not a member? Sign up now: https://t.co/XcOyZTklV2",2016-03-04
"""Every time I record an album, by the time I release it, I‚Äôm in a different state of mind."" https://t.co/rr2oR3z0cw @carseatheadrest",2016-03-04
"Slip on and go. So many new styles are online now: https://t.co/Z8iNfa4DsS https://t.co/Ejhm6q4SJf",2016-03-04
"Everybody's fave dress: https://t.co/8y39NA6D85",2016-03-04
"Our coral obsession is under control, we promise. https://t.co/VcUeYMntqR https://t.co/G7yWrGg91a",2016-03-03
"The ones you'll wear everyday Ì†ΩÌ±â https://t.co/zuAWxFX4ga",2016-03-03
"@chellywithaboge I will be glad to look into this for you. Please DM us your order number or name and billing address from your order.",2016-02-29
"@Bryaan_3 Ì†ΩÌ∏éÌ†ΩÌ∏éÌ†ΩÌ∏éÌ†ΩÌ∏é",2016-02-29
"Texas, we're coming for you! UO Live in Austin is coming on March 16-19. See the lineup: https://t.co/l8jyFy4gZg https://t.co/nR3iQRToZO",2016-02-29
"Happy Leap Year! Today only, all Urban On members get FREE SHIPPING on every order. Ì†ΩÌ≤´ https://t.co/LhMZj1wOYC https://t.co/8nO3BOJaTq",2016-02-29
"Oh hi, new sale items Ì†ΩÌ±Ä https://t.co/Z9n2Pmxops",2016-02-29
"It's here! Check out UO Journal Issue 2: https://t.co/chtiwgBi0f https://t.co/FOxBKE70WU",2016-02-28
"Go nude. https://t.co/ts3gwpEyDE https://t.co/KTJe4JDJ3b",2016-02-28
"New must-haves courtesy of @CalvinKlein: https://t.co/deMNR3kHba https://t.co/UPZcNKOX59",2016-02-28
"Celebrate 366 days this year by shopping our fave items for $29 or less! Ì†ΩÌ±â https://t.co/Lwlb31LOHa",2016-02-27
"You're a gem.  https://t.co/IHEzbG3xzZ https://t.co/EkgTncT347",2016-02-27
"All packed. ‚òÄÔ∏è https://t.co/OEk1j0O3lX https://t.co/bRzkkA1isq",2016-02-27
"Add these to your skincare regimen: https://t.co/5AQS6nB1TB",2016-02-26
"Clarify. ‚ú® https://t.co/99Tja0HDBC https://t.co/lidmfDKVty",2016-02-26
"To wear tonight: https://t.co/ilVTDav3kn",2016-02-26
"There's a print for every wall in your place...https://t.co/V7zqDz4MAJ https://t.co/PQdrB8Kmy3",2016-02-26
"The perfect fit. https://t.co/CKoD19iUHL https://t.co/YkhkdHKAbo",2016-02-26
"Ì†ºÌæ∂ It's Friday, here's a pug. Ì†ºÌæ∂ https://t.co/D53QLSZBEf",2016-02-26
"Your room will be happier if you hang plants in it. Ì†ºÌºø https://t.co/rwGMs89237 https://t.co/jQRxL5gn7j",2016-02-26
"Pssst...new dresses were just added to sale Ì†ΩÌ∏ç https://t.co/uoHqPfjVjm",2016-02-25
"@mitchsunderland well",2016-02-25
"@JordaanWong If you don't mind, please DM your order# and email address so we can help you out. Thanks!",2016-02-25
"Lace-up shirts, brimmed hats, and denim skirts Ì†ºÌºµ https://t.co/08RPWi5ki1",2016-02-25
"@sarahhnade If you don't mind, please DM your order# and email address so we can help you out. Thanks!",2016-02-25
"@backwards_gem WE LOVE YOU FOR IT",2016-02-25
"@Bangzisbomb Ì†ΩÌ∏è",2016-02-25
"LA! Don't forget to join @themjeans tonight at @Space15Twenty to celebrate UO Journal Issue 2 with awesome food + tunes. See you at 7!",2016-02-25
"@recklessharrys yesssss Ì†ΩÌ∏é Ì†ΩÌ∏é Ì†ΩÌ∏é Ì†ΩÌ∏é Ì†ΩÌ∏é",2016-02-25
"Everything in its right place. https://t.co/SkdU66cTfV https://t.co/HYh1KKuucu",2016-02-25
"The Pigment-Dyed Pocket Tee. $20 for your new fave: https://t.co/mTZtbf8TS9 https://t.co/vJmwNnvG4D",2016-02-25
"@recklessharrys take a pic Ì†ΩÌ∏é",2016-02-25
"Celebrate 366 days in the year with deals on items for $29 or less, starting today! Ì†ΩÌ±â https://t.co/cx8CsaZqgA https://t.co/qgsZgimDb0",2016-02-25
"Welcome home. https://t.co/7VimhWdUSD https://t.co/0fT4DwFE6O",2016-02-25
"Don't forget to follow our new #UOBeauty Instagram for a giveaway every single day in February! Ì†ΩÌ≤ã https://t.co/ySQDx0LpZp",2016-02-24
"Your new favorite pair of jeans: https://t.co/MXYE1BhtSR",2016-02-24
"Q: Can you have too many sunglasses? 
A: Ì†ΩÌ∏é NOPE. Ì†ΩÌ∏é https://t.co/mHQelpVSDX",2016-02-24
"LA! Join us and @themjeans at @Space15Twenty tomorrow to celebrate the launch of UO Journal Issue 2. https://t.co/d6HYdJP5Jq",2016-02-24
"Start planning that spring break road trip right now: https://t.co/qSa94MfhZP https://t.co/ryR7jKFxQK",2016-02-24
"Back.
In.
Stock. 
https://t.co/wB7SmGz5vq https://t.co/g5sSHV3zOg",2016-02-24
"One soap, so many uses: this is why we love @DrBronner. https://t.co/ZIxUk8Kfdu https://t.co/5sFiKmm8Nr",2016-02-24
"Desert days. Ì†ºÌºµ https://t.co/jZvJx3468O https://t.co/Q3ElmYHAx3",2016-02-24
"Ì†ºÌ∂ïÌ†ºÌ∂ïÌ†ºÌ∂ï https://t.co/p9dS2HByVN",2016-02-24
"Oh hi, mermaid hair: https://t.co/ndFi74jOXU",2016-02-23
"Lace it up. https://t.co/Hj4N3YBOSk https://t.co/9oCGt9IOzI",2016-02-23
"@Coldfrontsmusic HBD!!!!!!",2016-02-23
"This is putting us in a desert state of mind...https://t.co/flqtq10ku3",2016-02-23
"Ring the bell. Ì†ΩÌ¥î These sleeves are everything: https://t.co/CREwT5tO3Z https://t.co/ga6kdnO1vC",2016-02-23
"All the essentials, online now: https://t.co/SHYaKYxAB4 #mycalvins https://t.co/EQFEagQNQW",2016-02-23
"""You can‚Äôt make mistakes if you‚Äôre not adhering to rules."" @baskew https://t.co/4too7jVwp5 https://t.co/8l8viPsgnC",2016-02-23
"New from @CalvinKlein Ì†ΩÌ±å #MyCalvins https://t.co/Qj4aC17nme https://t.co/3Td1JcP2AD",2016-02-23
"Pretty. Comfy. $20. We're in love: https://t.co/5nZe6fqfEG https://t.co/W4JE6j9cX0",2016-02-22
"Your next favorite pair of BDG jeans is out there. Let us help you find it: https://t.co/ZtJf0euKeG https://t.co/SYx2L7qTVV",2016-02-22
"@nikkiribas please don't rub it in",2016-02-22
"@connerkleinn YES. there's always that one person rocking shorts when it's barely warm outside ‚ùÑÔ∏è",2016-02-22
"February vibes: When 46¬∞ feels warm. ‚òÄÔ∏è‚òÄÔ∏è‚òÄÔ∏è",2016-02-22
"The second drop of UO's exclusive Artist Editions Tees are now online! Shop here: https://t.co/cfI8TgxH2x https://t.co/6ZS4QDDsZ6",2016-02-22
"Your new go-to is $20: https://t.co/P4NYlNqHXz",2016-02-22
"Ì†ΩÌ∏ª  https://t.co/qJoXTVu1ti",2016-02-22
"UO Journal Volume 2 is out now! Pick up your free copy at select UO locations, or read here: https://t.co/zuxffyOR52 https://t.co/ayD1SIGJeN",2016-02-22
"Monday morning.
White @VANS_66.
Back at it again. Ì†ΩÌ±ä https://t.co/wUAqAxcbZt",2016-02-22
"$24 for the perfect tee: https://t.co/6psETLVpFi https://t.co/g6puqKJDcW",2016-02-21
"Take a picture, it'll last longer. https://t.co/6UKh4qOOMh https://t.co/BqAbc3268i",2016-02-21
"Current mood: ‚òÄÔ∏èÌ†ºÌº¥‚òÄÔ∏èÌ†ºÌº¥‚òÄÔ∏èÌ†ºÌº¥ https://t.co/kTkPaBIbng",2016-02-20
"All eyes on new Spring things: https://t.co/ROws23fy2x",2016-02-20
"Can anyone hear slap bass playing in the distance? https://t.co/DoaSgwJhEi https://t.co/r3JxS2W8NK",2016-02-20
"Wanderlust courtesy of photographer Dustin Adams: https://t.co/QZMolhlKlH Ì†ºÌº¥ https://t.co/XQhUxWwsVd",2016-02-20
"On the menu tonight: cocktails that look as good as they taste. Ì†ºÌºπ https://t.co/XxOGdja8G5 https://t.co/Y2Gh7nOeue",2016-02-20
"Don't judge us: we're already starting our Spring Breaking packing list. Here's what's on it: https://t.co/ROws23fy2x",2016-02-19
"Ì†ΩÌ±åÌ†ºÌøºÌ†ΩÌ∏ç https://t.co/p0obBm8YIZ",2016-02-16
"Picture yourself right here: https://t.co/RNepbKR1zo https://t.co/vhaO6FPPCa",2016-02-16
"Don't forget to follow our new #UOBeauty Instagram for a giveaway EVERY DAY this month! https://t.co/8q5zw6TyOh https://t.co/CujwE9zdBj",2016-02-15
"New shirts / classic prints. https://t.co/0rKpaZOTwc https://t.co/lid6tWryTt",2016-02-15
"It's the LAST DAY to take 30% off all sweaters! https://t.co/FjnbjU4ou5",2016-02-15
"Mix. Match. Make it yours. New swimwear is online now: https://t.co/415zmWl5ro",2016-02-15
"BRING SPRING. ‚òÄ‚òÄ‚òÄ Shop the new lookbook now and pretend it's not frigid outside: https://t.co/c52NHH8YMa https://t.co/JHeUCQyzzg",2016-02-15
"The skirt you need to take you into Spring: https://t.co/18qPZv2HzW",2016-02-15
"Psst. New stuff is on sale ‚Üí https://t.co/oBU1vfkC5m",2016-02-15
"‚ù§Ô∏è #LoveUO https://t.co/MCyKHMaSqY",2016-02-14
"The latest in the sneaker shop: https://t.co/AesdyhaQYj https://t.co/fVSy6qgv0g",2016-02-13
"Neutrals in every shade for every day: https://t.co/CN12uPquNw https://t.co/e3BFzdruqm",2016-02-13
"Get to your local UO today at 1pm for a special #UOBeauty event! First 25 customers receive a gift box with a beauty or intimates purchase.",2016-02-13
"We chatted with @callyrgf about friendship + daily routines on the Blog: https://t.co/q2KrPWAXLN #LoveUO https://t.co/DOeEn8xxrM",2016-02-12
"Dresses perfect for date night (or any night)... https://t.co/B2H6WZ7aZ7 https://t.co/V09MrZQptS",2016-02-12
"""Design is specific communication, whereas art is free expression."" @satsukishibuya https://t.co/aN3GF6PlH0 https://t.co/MI9x61uh84",2016-02-12
"Currently: https://t.co/sAevnHRkB9 https://t.co/WgeeI1uRDc",2016-02-12
"The balms + oils we're using to hydrate our skin, naturally: https://t.co/7AKQtacL4e",2016-02-12
"Negative wind chills got you down? All sweaters are 30% off for a limited time! ???? https://t.co/cTCFdvuom0",2016-02-12
"$20 for your new favorite bra ‚Üí https://t.co/XmEKd2Ahoz",2016-02-11
"Ì†ΩÌ∏é New sunnies are online now Ì†ΩÌ∏é
https://t.co/dfKY1NRjDn https://t.co/IoIbIVhLCo",2016-02-11
"Life is peachy with the new @PUMA X ALIFE collab. https://t.co/ddzLzHx3O3 https://t.co/CfgQm47rhv",2016-02-11
