"jcrewtext","date"
"We're less than 24 hours away from our #jcrewnyfw presentation. Tune in at 4PM for live coverage of our presentation",2015-09-16
"We were lucky to spend a day shooting our #jcrewalways List with an all-star cast of women: http://t.co/Ap7UXtWOJg http://t.co/KhCIFDlyQ1",2015-09-15
"Two words we never get sick of hearing: New. Arrivals http://t.co/cZ969nTBty http://t.co/aPrhyaCvxV",2015-09-15
"Introducing The Always List...As in, the pieces we'll always wear and love  http://t.co/kq6j1ozZ2Q #jcrewalways http://t.co/JLCEcP2FO2",2015-09-15
"We’re looking forward to crisp days, hot cider and wool blazers... http://t.co/Z9BlvFfuHs http://t.co/301PBUEJdm",2015-09-14
"A sneak peak at our latest, exclusive sneaks: J.Crew x @ASICSTigerUSA Gel-Lyte III http://t.co/UF2n2CuTgx #jcrewkicks http://t.co/skRrnWDH1a",2015-09-14
"Gingham/stripes/print mash-up. #jcrewnyfw http://t.co/obplkHVrCU",2015-09-14
"Layered necklaces. Check. #jcrewnyfw http://t.co/kqdIGrTdjU",2015-09-14
"The definition of smarty pants http://t.co/RXHrUBUtZ1 http://t.co/diXuNDk3PC",2015-09-14
"The Lookout High Rise: these jeans do great things for your derriere http://t.co/fDsNPguuRZ #jcrewdenim http://t.co/RFmQknaUuw",2015-09-10
"Amanda Brooks wears our patch-pocket jeans all over the English countryside. NBD http://t.co/D3NqtumvZl (cc: @jeanstories) #jcrewdenim",2015-09-09
"Our latest 9 to 5 ideas (that happen to work quite well out of office hours, too) http://t.co/XTJp9mZiJX #lookswelove http://t.co/yFasbkFxVU",2015-09-08
"We sourced fabrics from Japan and developed hand-washes in Kentucky: http://t.co/ZQJLR96WZO #jcrewdenim http://t.co/SPVLbvLepQ",2015-09-08
"The best and brightest new arrivals for back-to-school are here! http://t.co/n7DlJHefAk http://t.co/NGD4z6Z5tr",2015-09-07
"There are 16 more days of summer. Think of all the iced tea left to drink #jcrewsummer",2015-09-07
"What can we say, we love shoes. http://t.co/e0MxFIPXf8 #shinyponies #jcrewcontest http://t.co/UNiUJ67pjM",2015-09-06
"Their back-to-school wardrobe starts here… http://t.co/moPEh2Zpbf #newarrivals http://t.co/9ruREAJvJf",2015-09-05
"Our tees feature stripes, planes, bugs—and even a weightlifting gorilla http://t.co/gDvLrbx7Qz (cc: @amnh) http://t.co/NnZLU4tpqT",2015-09-05
"There are always more hangers #jcrewtruths",2015-09-04
"#jcrewdenim by Tim Coulson. Show us how you wear your favorite pair http://t.co/R3gYquVpt5 #regram http://t.co/vRnoiSj83T",2015-09-03
"Introducing the new stars of your shoe wardrobe http://t.co/NwTwslrR6L #shinyponies http://t.co/xI5wZHsUP7",2015-09-03
"These #newarrivals have got us feeling on top of the world http://t.co/XUKLMEbf7u http://t.co/vtCqKhtBra",2015-09-03
"Our friend, Taylor Collins, tries out our new denim: http://t.co/oyvLKW2PXf #jcrewdenim http://t.co/zOmeFlAId6",2015-09-02
"Still haven’t got that fall feeling? Our new arrivals can help with that http://t.co/fEltgpzfUc http://t.co/bgpzBJx8kF",2015-09-02
"Our latest insta-outfits to see him from Monday through Sunday http://t.co/ApkN5jUQIQ #lookswelove http://t.co/AanjdlywCC",2015-09-01
"Spotted by @thecoveteur in Jenna's office: http://t.co/F4B6VQZ6hV #shinyponies http://t.co/KTYMHaVc7b",2015-09-01
"“Every woman from 18 to 80 should have one of these in her closet…"" http://t.co/P5Z6Cr2zd0 #jcrewalways http://t.co/3aI7Ntfe1R",2015-08-31
"Slim boyfriend jeans—that don’t actually look like they ever belonged to your boyfriend http://t.co/0C3B7lO4aH http://t.co/JSlqVEeYt3",2015-08-31
"Pick the dress now. Find the venue later. http://t.co/Y7KX7rbBiY #jcrewwedding http://t.co/Rm754K2u7t",2015-08-30
"We believe in denim on denim on denim #jcrewdenim",2015-08-30
"The cropped pant that looks good on everyone—now in a blush pink http://t.co/pojOneyz04 http://t.co/Mnb957cFPg",2015-08-29
"Heels or flats? Your call http://t.co/NNBIZ31psm #shinyponies #jcrewcontest http://t.co/krQ0HFp9cH",2015-08-29
"Introducing the Rhodes blazer—you’ll wonder how you lived without it for so long http://t.co/IApcWoYQC3 http://t.co/6IfWDvTiLW",2015-08-28
"When a suit suits, you know http://t.co/O3nhF04I01 http://t.co/dLnUaNcCpv",2015-08-27
"Our slide sneakers make getting out the door way easier—and sparklier http://t.co/hgWmcDrG5c http://t.co/X0SNLHwC7P",2015-08-27
"Our special-edition Ludlow suit, made by @mgmastertailor using fabric from @americanwoolen: http://t.co/HbUu6n4ZLu http://t.co/vjagE8lp0w",2015-08-26
"Three cheers! Back-to-school new arrivals are here! http://t.co/weSMYlQXKT http://t.co/pthSLiomsl",2015-08-25
"Here’s a novel idea: your work clothes can be your favorite clothes http://t.co/2BEONiwdaT http://t.co/u9JS3ggA4T",2015-08-24
"See behind-the-scenes of our très romantic Style Guide shoot in Paris: http://t.co/QJXFdhBEH8 http://t.co/OFaLIBNcqa",2015-08-24
"The perfect view. Shop our suede Elsie pumps now: http://t.co/j28RdsQlXn  #shinyponies #regram http://t.co/rYmhdltERS",2015-08-24
"School's in—and so are these cute new arrivals! http://t.co/fvymrAv5yV http://t.co/oGpZAjR59G",2015-08-23
"Anything's possible if you're wearing the right pair of shoes #jcrewtruths #shinyponies",2015-08-22
"Wear your jewels on your sleeve http://t.co/2blDjtEXCR #jcrewjewels http://t.co/hPkxwVgP70",2015-08-22
"New denim. New stripes. New arrivals http://t.co/q8NDJAoxJZ #jcrewdenim http://t.co/k68lHtaV7T",2015-08-21
"We met up with @evachen212 to try on shoes (it was as fun as it sounds) http://t.co/BLqWZQUrJA #shinyponies http://t.co/FgtSzECpZS",2015-08-20
"Introducing over 200 new arrivals to wear right now (and later) http://t.co/LyiwGjE5l2 http://t.co/AvGKoQiKZN",2015-08-20
"Our denim design team explain how they created a new line of washes with experts from Kentucky http://t.co/eogo41AwBY http://t.co/MGkF0nDLMj",2015-08-20
"Want to win 12 months of shoes (picked by Jenna)? Of course you do http://t.co/5X2WswRAUG #shinyponies #jcrewcontest http://t.co/UkBZABQUgj",2015-08-19
"We set out to redesign our denim—and capture what our team loves about their favorite jeans http://t.co/LmepmPzHZ2 http://t.co/Z3WsgKi6DY",2015-08-18
"Join us on Wednesday (the 19th) for an evening of new arrivals (&amp; snacks) at our stores http://t.co/q9vT4BBYUy http://t.co/ZoiAEHm4WY",2015-08-17
"How to get dressed in 30 seconds… http://t.co/SfBwX8xk8H http://t.co/iGEJ6wXAl4",2015-08-17
"A few reasons to be excited about wearing jackets again… http://t.co/NaJiHlJhHo http://t.co/BOCZajYz5n",2015-08-16
"Our kind of uniform: http://t.co/TbuWaKnBFh http://t.co/szbc8Mds5S",2015-08-16
"In honor of our upcoming Style Guide (shot in Paris!): baguettes from our neighborhood bakery (cc: @Lafayette380) http://t.co/9qGokP7Lnl",2015-08-15
"Behind every great woman is a great cardigan (specifically: the Jackie cardigan) http://t.co/dn3wF77NxV http://t.co/zSCYntv2iQ",2015-08-15
"We collaborated with @newbalance (to start the school year off on the right foot) http://t.co/4AtqrqpXD2 http://t.co/wvO3SNoXvD",2015-08-14
"Our motto for August: keeps your friends close and your AC closer.",2015-08-14
"Our new favorite way to commute. Shop the Gemma glitter flats now: http://t.co/rRWvOOSg2l #shinyponies #regram http://t.co/wL0j30qHiz",2015-08-14
"Meet Ndotto (left), whose name means ""to dream"" in Swahili http://t.co/NB62lyKkK8 #WorldElephantDay http://t.co/icozlklbJl",2015-08-12
"Meet Lasayen (right), who loves playing games &amp; foraging with Ndotto (left) http://t.co/7AsAbsygdR #WorldElephantDay http://t.co/B47v0aPhud",2015-08-12
"Happy #WorldElephantDay! Meet some of the @DSWT elephants we're supporting with our new tees: http://t.co/8KXaxmLUi4 http://t.co/Z9A9xNdJ6m",2015-08-12
"Yippee, 200+ (school-ready) new arrivals are here! http://t.co/nAL0SdjXrF http://t.co/8Y8RKMDZl1",2015-08-11
"Strike a pose, it's #shoesday http://t.co/CwGN8hWA45 http://t.co/fzplVvx5nk",2015-08-11
"How to stay sharp when you’re not in a suit http://t.co/BB9rVQ1c8H http://t.co/oyGCQ2frnr",2015-08-10
"Classic styles and sharp new looks to build your wardrobe around http://t.co/WgjGiVxFie #newarrivals http://t.co/YWHKO0QPjO",2015-08-09
"Everything she needs for her first day (besides a balanced breakfast) http://t.co/LYjjcMflbT #newarrivals http://t.co/f0cSFnGfts",2015-08-08
"Summertime tip: beach hair doesn't require a beach http://t.co/WFMEGf2MTp #jcrewtips",2015-08-08
"In case your shoe collection needs a few pointers http://t.co/mLSWKiV3To http://t.co/Q4cXhkA4Vi",2015-08-07
"Outfit-saving tips from our stylist Gayle: http://t.co/e6kj8Fc68k #accessoryfix http://t.co/ur9G4wTasn",2015-08-07
"Congrats Jenna for making the @VanityFair #IBDL! Proving you can wear denim to a black-tie event &amp; get away with it. http://t.co/FkTZbArCDi",2015-08-06
"The field mechanic jacket (no actual mechanic skills required) http://t.co/hX6uTdE6qO http://t.co/MPWP8qhvK3",2015-08-06
"Tonight at our #JCrewLocal event: get a free engraved @harrys razor stand with purchase of a Harry's shave set: http://t.co/DQ29dTQ5Or",2015-08-06
"Perfect jeans do exist, &amp; we're helping you find them. RSVP to our styling event: http://t.co/S7lCWFP6SR #jcrewdenim http://t.co/pUSfrtQTzp",2015-08-05
"Your perfect summer-into-fall outfit is here: http://t.co/JmaeYllvd0 #newarrivals http://t.co/n0u4C6zZLD",2015-08-05
"This Thursday, get a free engraved @harrys razor stand with purchase of a Harry's shave set: http://t.co/DQ29dTQ5Or",2015-08-04
"Ahhhh! These lunchboxes are so cute, it’s scary http://t.co/2u0MlMJ9ng http://t.co/fTPehKqU1M",2015-08-04
"Must be #shoesday... Shop these @vans for J.Crew Sk8-hi sneakers now: http://t.co/57b2Y3h83S http://t.co/DSFclCk4KP",2015-08-04
"The Sunday slim chino: don’t let the name fool you, these are 7-days-a-week pants http://t.co/DIL3NS4f2K http://t.co/CVlQC34NTR",2015-08-04
"We partnered with Cali board short company @birdwellbb to to make sure your beach game stays strong this summer http://t.co/tSogCKXIpB",2015-08-03
"All great outfits start with great items http://t.co/4YLotZtlgg #lookswelove http://t.co/K16k0Djjyq",2015-08-03
"Outfits to ace the first days of class. And the next day, and the day after that... http://t.co/8ZJyWvVGh9 http://t.co/e74kjouU8j",2015-08-02
"Summer wedding season’s not over yet. Let’s party. http://t.co/PE8KnM28Np http://t.co/eURDw2PQhD",2015-08-02
"Contrast satin lapels + gold buttons = a new Regent blazer to add to bag http://t.co/8r9SVyoOMa http://t.co/CKskWnFT2u",2015-08-01
"Hold on to your iced coffees, August is here!",2015-08-01
"You may not know Italian, but you should know your Italian suits http://t.co/7pOH26dctG http://t.co/Shkt6ZZ8HQ",2015-07-31
"Tonight at our #JCrewLocal event: get free engraving on collar stays from @owenandfred: http://t.co/vgQignhgsg",2015-07-30
"We asked stylish gent and Instagram star @patrickjanelle to share his top 10 picks for summer: http://t.co/OaDzSWHeKX http://t.co/d8gJRrPjD3",2015-07-30
"We call our Toothpick the 360° jean because they look good from every possible angle http://t.co/IE40DzgKNH http://t.co/TNz9BPq0MA",2015-07-29
"It's #NationalLipstickDay today! Air kisses for everyone!",2015-07-29
"Summer tip: linen is basically built-in AC for your wardrobe #jcrewtips",2015-07-29
"This Thursday, get free engraving on collar stays at our Wythe Ave. store from @owenandfred http://t.co/vgQignhgsg http://t.co/dZiM05loH1",2015-07-28
"What she’ll want to wear on the first of class. And the field trip. And to her playdate. And… http://t.co/ElbunMEwKU http://t.co/Q3UzqvFsxD",2015-07-28
"Summer musts: flowers, stripes, shorts (not necessarily in that order) #regram http://t.co/XveWsTuoPh",2015-07-27
"Summer tip: popsicles make great lip stains #jcrewtips",2015-07-27
"Your office essentials: pen, paper, these clothes. http://t.co/kD7l99fLSF http://t.co/b3cdpFU3rJ",2015-07-27
"Get ready for big smiles…New arrivals (for school!) are here http://t.co/ILxC1kcnJq http://t.co/bRcwLsFHoN",2015-07-26
"The classic pique polo: the unofficial weekend uniform, and we wouldn’t have it any other way http://t.co/rwiR8AJo8K http://t.co/dtQ68pgfGv",2015-07-25
"So many #newarrivals… http://t.co/0PgqzY9MQd http://t.co/6pkD9q9Svf",2015-07-24
"Ever notice how many conversations start over a great bag? http://t.co/TuAFeHrRF6 http://t.co/dGOaFmhRXu",2015-07-23
"We asked 3 handsome gents to test-drive our new Harwick bag collection by train, bike &amp; truck http://t.co/2VnMlpCDF2 http://t.co/PtmIE1eBrW",2015-07-23
"These handwoven sandals from @ixstyle benefit communities in Guatemala (p.s. ix is the Mayan word for ""water"") http://t.co/enEzcOJteB",2015-07-23
"These new arrivals are the b-e-s-t http://t.co/9pZIaTNR7P http://t.co/3j7OM9u9Pl",2015-07-22
"It's #NationalIceCreamDay! Which means it's totally acceptable to eat ice cream for breakfast (and lunch and dinner…)",2015-07-19
"Wedgies &amp; boogie boards #summerpairs",2015-07-18
"Your Saturday and even Sunday, #ootd should probably be this: http://t.co/v1WLq4OIkV http://t.co/Pn6vtfMrL7",2015-07-17
"Summertime and the dressing (should be) easy #jcrewtruths",2015-07-17
"A bold hat is never a bad idea. http://t.co/kkJII0sja8 http://t.co/tMoVWGPLGy",2015-07-16
"The perfect on-the-go bag = our new uptown tote http://t.co/OApdIfBKIE (cc: @lesleemitchell) #regram http://t.co/uCqnaSsSFk",2015-07-15
"All under $100. All kinds of amazing http://t.co/xVpOvhgSlB #thefinds http://t.co/0ohMGXVieQ",2015-07-15
"Go big or go home: http://t.co/tijMvscYJu #jcrewjewels http://t.co/fYB9XQLJz9",2015-07-14
"We’ve got the shorts to see you from now until September http://t.co/CUhvmFTDVd http://t.co/JNTRtGCbSD",2015-07-13
"What do the sisters behind @BlockShopHQ pack for their yearly textiles trip to India? These… http://t.co/ya05IV3Bpp http://t.co/oHsiLyI04s",2015-07-13
"Sandy toes &amp; salt water taffy #summerpairs",2015-07-13
"Sun-protection is the best excuse for new shades (cc:@illesteva) http://t.co/6alfp57F4t http://t.co/NvLeyMsE54",2015-07-11
"Cue the dance party. Our summer playlist is on Spotify: http://t.co/jKs2iWa7Eg",2015-07-10
"New pieces for looking your best wherever summer takes you… http://t.co/kluOKLI0dK #newarrivals http://t.co/3NT7a8aFXA",2015-07-10
"The cream of the crop. Literally http://t.co/HwXjQ9VGdq #jcrewdenim http://t.co/Y39SUPLlp8",2015-07-09
"Step inside the quirky, colorful studio of illustrator Mary Matson: http://t.co/ATcstea31d http://t.co/2eTLCwYv9K",2015-07-08
"It's hot, hot, hot. So these new arrivals are right on time. http://t.co/fs6ae6U2mE #newarrivals http://t.co/fMa7naxqjN",2015-07-08
"The results are in. Your favorite crop top that’s ""not too cropped."" We aim to please: http://t.co/CZN0NVDehx (cc: @refinery29)",2015-07-07
"Outfits for camp, day trips, playdates and all his other summer plans… http://t.co/RBKoLzxIVP #lookswelove http://t.co/c3PRuR5Uq2",2015-07-07
"Make “running home to change after work” a thing of the past http://t.co/GRFAq0khFg http://t.co/iMGUd4f07o",2015-07-06
"Fresh flowers &amp; fresh pedicures #summerpairs",2015-07-06
"A wedding reception with a personalized game of Jeopardy? We’ll RSVP to that http://t.co/fatrFAff9k #jcrewwedding http://t.co/XjO8M6UJLQ",2015-07-05
"Stars, stripes and sequins…How we do #FourthofJuly",2015-07-04
"Nothing says happy #FourthofJuly quite like the California coast... http://t.co/EsiDJuVQx3 http://t.co/iY3DHi6IS7",2015-07-04
"Your summer uniform: shorts, sunglasses and probably an iced coffee http://t.co/M7quebUdfo http://t.co/tg5CW8yMHi",2015-07-03
"Tomorrow's mission: try not to get BBQ sauce on the white part of your red, white and blue outfit #July4th",2015-07-03
"Go on, embrace your inner beach bum http://t.co/9LhQx3xn4O http://t.co/FbqsPDZnnI",2015-07-02
"Our scoop-back one-piece: the perfect swimsuit for beach volleyball (and everything else) http://t.co/HQuABZTEoY cc: @fashionista_com",2015-07-01
"It’s too hot to figure out what to wear. So our stylist Gayle did it for you http://t.co/fYpFx3PK7C #lookswelove http://t.co/1yBirrAvP4",2015-07-01
"Happy #CanadaDay! We'll be putting extra maple syrup on our pancakes this morning to celebrate",2015-07-01
"The limited-edition @newbalance 997 available tomorrow at the NYC Liquor Store http://t.co/L5RYfdx7Rj #jcrewxNB",2015-06-30
"How to get out the door to that BBQ in 2 minutes flat? A romper. http://t.co/DyGaX4nuB7 http://t.co/QHnwBrjysC",2015-06-30
"Summertime and the dressing is eeeasy http://t.co/9Ragg96OOo #lookswelove http://t.co/sDjh03zPqA",2015-06-29
"How to dress for the office when it's 85 degrees outside? Our stylist Gayle answers… http://t.co/BZNjHTgGr4 http://t.co/cnSA0qSrLg",2015-06-29
"The suit to wear when it’s 80 and humid http://t.co/AxD4p2eSEg http://t.co/GJmRIeetNy",2015-06-28
"You call it summer, we call it dress season http://t.co/ERTDpT0vYd http://t.co/deVqtHiZKQ",2015-06-27
"The seaside pant—don’t pack for the weekend without it http://t.co/hxcAf9WElV http://t.co/IUCIqNyp44",2015-06-26
".@ChrisBurkard shares his packing tips for a trip to New Zealand (or your nearest campsite) http://t.co/sWSwmtSRlq http://t.co/prEcpN0WDu",2015-06-26
"Summerize your essentials http://t.co/jPZidElwth http://t.co/WkI7DuwK14",2015-06-25
"85° outside. 65° inside #signsofsummer",2015-06-24
"We stopped by jewelry designer @wbrittnyc's studio to take in some views of her muse NYC http://t.co/kdrJnQ4NHs http://t.co/vrWHODejCF",2015-06-24
"All the (new) things they need to stay cool this month… http://t.co/cwvYSpBVtW #newarrivals http://t.co/ulX0uek76h",2015-06-23
"Lunch in the park #signsofsummer",2015-06-17
"The smartest way to keep your closet up on current events http://t.co/GuQDGJzq5z   #newarrivals http://t.co/mfstDuAoRW",2015-06-17
"The early bird catches the…New arrivals. Shop ours before anyone else: http://t.co/zW1klIaPmn #jcrewfirstlook http://t.co/yUs38oHR7P",2015-06-16
"200 bright easy pieces for bright easy days… http://t.co/TBQvGL79y4 #newarrivals http://t.co/juRTx388hN",2015-06-15
"Available today: our exclusive J.Crew x @newbalance 998 Hilltop Blues sneakers http://t.co/6kSuzNFB4P #jcrewxNB http://t.co/iTtF0v3fNO",2015-06-15
"Breathe. It’s wedding season http://t.co/JKt1vf65Lm http://t.co/mysMfhYbwX",2015-06-14
"It’s a beautiful day. Don’t spend it in front of your closet http://t.co/xQiHwiYAsO http://t.co/XvPsPE1eJj",2015-06-13
"Befriend more people with beach houses http://t.co/8TrWvXvs3E http://t.co/UqT9itwYIC",2015-06-12
"Forgetting why you'd ever drink anything other than iced coffee #signsofsummer",2015-06-12
"How to take an outfit from good to great: http://t.co/faAjdwPKwU http://t.co/lo1KTng7ji",2015-06-10
"Suiting that goes beyond the pinstripe http://t.co/yDx5OliOFz http://t.co/Oxt50klErk",2015-06-09
"Dressed to chill. Introducing, the Hangout short: http://t.co/ao5YGAijNH http://t.co/NEwGeY8wjl",2015-06-09
"A beaded kaftan, a hologram clutch, palm-leaf printed heels…It could only be Collection http://t.co/bcOmbpYQrB http://t.co/gH9ZTdmut1",2015-06-08
"Love what you do, do what you love. Check out J.Crew Careers here: http://t.co/hAYCrTE5Ln (cc: @jcrew_hiring @jcrew_jobs)",2015-06-08
"Our #Ludlow suit is meticulously crafted by skilled artisans—it takes over 200 steps to create from start to finish #jcrewfacts",2015-06-07
"A sapphire ring, blue lace bridesmaids dresses—and matching nail polish, obviously http://t.co/Jdi9SAFRFL http://t.co/HMHKItn3Fi",2015-06-07
"Keep this one at the front of the closet http://t.co/44BgX8kEZc http://t.co/PA2KA80n6b",2015-06-06
"Knock it off with the boring suits, try one of these http://t.co/STtDHA1gcL http://t.co/RupwlvPjtB",2015-06-06
"We're giving out free donuts in stores until 12pm. You donut want to miss it http://t.co/vPPgVEjqqp #nationaldonutday http://t.co/cvZ4fY5ayp",2015-06-05
"And we're back! http://t.co/ZRJbxOJffy is up and running. Thanks for your patience! #happyshopping",2015-06-04
"We're experiencing issues with http://t.co/ZRJbxOJffy, we’ll be back online shortly. Need help now? Tweet @jcrew_help or call 1 800 562 0258",2015-06-04
"The story behind our first collab with @OnitsukaTigerUS http://t.co/IMiwKL4MUf  #jcrewkicks #JCrewXOnitsuka http://t.co/qLwczDT61h",2015-06-04
"Tees made in a place where they know a thing or two about warm weather style http://t.co/dvoyPxxDIY #madeinUSA http://t.co/PqLYUgYCGx",2015-06-04
"Ice cream for dinner #signsofsummer",2015-06-03
"Shop our collections from the @CFDA/@voguemagazine #fashionfund winners…right NOW! http://t.co/Q6DPyP05UH #jcrewxcvff http://t.co/hOFXdc6J97",2015-06-03
"Sun’s out, new arrivals out http://t.co/zAeeYJADOG http://t.co/IsaXiXSj7l",2015-06-03
"Good things from above: celebrating the #jcrewxcvff collection tonight. Come shop 'til 9p at our 5th ave store in NYC http://t.co/tb2WXxJepT",2015-06-02
"Visit us tonight from 7:30-9PM at our NYC 5th Avenue store to shop the #jcrewxcvff collections before anyone else: http://t.co/oBgvvmbsZn",2015-06-02
"We're proud to be the official outfitter of ""hey watch this!"" jumps in the pool  http://t.co/quCFaEFwhP #crewcuts http://t.co/7UwA9dZ7l0",2015-06-02
"The jogger pant, the perfect pant for everything but jogging http://t.co/mZgNL4VltM http://t.co/bLXmXWeZ1H",2015-06-02
"Our summer necessities: iced tea, bare feet, and pretty new dresses http://t.co/Nj1NHu8XR3 http://t.co/whFnimeHhs",2015-06-01
"Great jeans are arguably more important than great genes. #jcrewtruths",2015-06-01
"First comes love, then comes the dress… http://t.co/wu5w8W8tNr http://t.co/JPrT0bmvJs",2015-05-31
"Thought there was only one way to wear a tux? Prepare to have your mind blown http://t.co/rslxMm7xdE http://t.co/KAGpBDOUqM",2015-05-31
"Hey New Yorkers, today is #Manhattanhenge (otherwise known as @Instagram gold).",2015-05-30
"If only we could make a tie-dyed dress this cool when we were in camp... http://t.co/l4tKakBPPd #crewcuts http://t.co/0FRwpd1Pjk",2015-05-30
"Introducing the Baja shirt (the ease of a hoodie with the versatility of a shirt) http://t.co/GcDTp3GGyu #thefinds http://t.co/KC8kZqgUNr",2015-05-29
"Chambray. Seersucker. Linen. Silk. #signsofsummer",2015-05-29
"Exclusively ours: the @OnitsukaTigerUS Fabre Low, available now http://t.co/bPDXBlHdaK #jcrewkicks #JCrewXOnitsuka http://t.co/usGnj6ggPv",2015-05-29
"Welcome to the arty world behind jewelry line and #fashionfund finalist @evafehren http://t.co/NyySzb65JZ #jcrewxcvff http://t.co/APgpaFQo8N",2015-05-29
"Rumpled linen shirts are a telltale sign of a man with great taste http://t.co/fioX1Mhc1e http://t.co/RD1p6aKN5Y",2015-05-28
"Introducing the short sleeve painter tee. Wear it all summer long http://t.co/8Mxy0rlLg1 #thefinds http://t.co/sAxdk3DbHm",2015-05-28
"Designer @ryanrocheny takes us inside her studio, a converted barn outside of NYC http://t.co/JdsjoQwaT4 #jcrewxcvff http://t.co/aS4aPalxwE",2015-05-28
"Need a little summer outfit inspiration? Bookmark this: http://t.co/3gUqe3ZNkp #lookswelove http://t.co/301NUdi4N6",2015-05-27
"Our #styleguide shoots have taken place in 43 different countries and 5 continents #jcrewfacts",2015-05-27
"This Thursday, Amanda Brooks will sign copies of her new book, ""Always Pack a Party Dress,"" at J.Crew Prince St. (!!) http://t.co/tZA5B7se7X",2015-05-26
"You've mastered the Power Point presentation, now onto power dressing http://t.co/9thWk19m46 http://t.co/SA7LQsu2Ox",2015-05-26
"The contents of your fridge: guac, limes and margarita mix #signsofsummer",2015-05-25
"We can only think of a few places that merit 24 hours of travel. The Maldives is one http://t.co/Shqo5f07iy http://t.co/cIPkT9dLDN",2015-05-25
"Outfits for camp, daytrips, playdates, or just hanging out in the backyard http://t.co/LkNQg1xNjs http://t.co/n70qyRkPPr",2015-05-25
"Love J.Crew? Come work for us! Check out J.Crew Careers here: http://t.co/hAYCrTE5Ln (cc: @jcrew_hiring @jcrew_jobs)",2015-05-22
"There are 6,337 custom color chips in our ""Color Library"" #jcrewfacts",2015-05-21
"INCOMING! http://t.co/2w3ZVQMMgl #newarrivals http://t.co/uIAutpheIQ",2015-05-21
"Introducing our collection from @CFDA/@voguemagazine #fashionfund winner @PAndrewDesign http://t.co/n50sCICZfL #jcrewxcvff",2015-05-20
"A very giggly dress up session, courtesy of our newest collaborator @fashionbymayhem http://t.co/y2vZ0Q3Z5A #crewcuts http://t.co/cmGPvHr8i7",2015-05-20
"Heard of @mercadoglob for J.Crew? It's about to be our worst-kept secret... http://t.co/1IzLJroTuV",2015-05-20
"Two words: New. Outfits http://t.co/jvsudgYyp0 #crewcuts http://t.co/1t9u9qbMdM",2015-05-19
"Our collections with the @CFDA/@voguemagazine #fashionfund winners are available for pre-order: http://t.co/8oZxYlVBjS #jcrewxcvff",2015-05-19
"J.Crew x @OnitsukaTigerUS is in select stores &amp; online now http://t.co/KKL7oGTtF0 #jcrewkicks #JCrewXOnitsuka http://t.co/QMJ2hATWjH",2015-05-19
"Give your wardrobe some 80-degrees-and-sunny vibes http://t.co/PZPV1IGwsS http://t.co/UVumtSb5qx",2015-05-18
"We'd say to send us a picture of your favorite museum exhibit but photography probably isn't allowed #internationalmuseumday",2015-05-18
"Blue skies &amp; crystal-clear waters. (There's more from the Maldives in our June #styleguide) #onlocation http://t.co/OF8SimpMsv",2015-05-18
"You can walk forever into the Indian Ocean and still see your toes (Really! Our team tried)(cc: @Anantara_Hotels) http://t.co/9Xl2fTCp9o",2015-05-17
"Sunglasses &amp; bare legs #springpairs",2015-05-17
"Secret's out! We opened a men's shop in the basement of our 769 Madison Ave store http://t.co/qT9bzRdVke",2015-05-17
"Our version is a better fit for rooftop cocktail parties than hackey sack circles http://t.co/Lv7B2kDV63 http://t.co/vjcV9Ge83g",2015-05-16
"The J.Crew signature red lip made its catalog debut in 2005 #jcrewfacts",2015-05-16
"So you think you're a J.Crew aficionado? @TandCmag found 31 facts about us you might not know: http://t.co/Csa64r8hEg",2015-05-16
"Sunshine &amp; smiling at strangers #springpairs",2015-05-15
"Introducing the J.Crew x @OnitsukaTigerUS Colorado Eighty-Five: http://t.co/KqBkHvdVmL #JCrewXOnitsuka #jcrewkicks http://t.co/gYmtFspJWQ",2015-05-15
"It's getting warm out. Chances are you're going to want to wear one of these: http://t.co/YTysuB2t9v http://t.co/kMgty7DH1V",2015-05-15
"She'll go bananas for these shorts http://t.co/QwJOdwSsU2 http://t.co/XPtCQHs5Gh",2015-05-14
"The Slouchy Boardwalk Pant—add heels or flip-flops as appropriate http://t.co/nBr4xeFupx http://t.co/S5GcSViivU",2015-05-14
"Love at first sight. Or more precisely, love at first wear http://t.co/nvZDnqdq5O http://t.co/jSP2U9gwoW",2015-05-13
"Shorts in fits and fabrics that will convince you to give your pants the summer off http://t.co/PobTp3FwAd http://t.co/APpihMT5vV",2015-05-13
"""The cool in culotte...and the eeeeee! in jeans."" - @ManRepeller on the Rayner wide-leg jean http://t.co/UrG2qaJ0Id",2015-05-12
"We've got the swimsuits, the sandals, and all the splashy extras for their beach bags http://t.co/4yJUFPG12k http://t.co/0QbtUW8pnB",2015-05-12
"Designer @carlasersale shares her packing list for her trip to Italy. Yes, we're jealous too http://t.co/aZW7TIPzRr http://t.co/lv1Reb4N7p",2015-05-12
"Did you know: Worker bees produce just 1/12th a teaspoon of honey in their lifetimes #jcrewlovesbees",2015-05-11
"Meet the skirt you'll be living in this summer http://t.co/x8Hc4o6NsO http://t.co/ymN9Sg049j",2015-05-10
"Looking sharp doesn't always have to mean taking your suit so seriously http://t.co/nL62DuTNPj http://t.co/bzC4gJjFEg",2015-05-10
"Stop tweeting and call your mother #happymothersday",2015-05-10
"Short story: tons of colors, prints and patterns. The end http://t.co/gLKfdmb8ri http://t.co/uTUR2rgF5f",2015-05-09
