"expresstext","date"
"It's time to get your style game on point for 2016 with our Featured Brands. #ExpressMen https://t.co/5sHSDun7rW https://t.co/XSe3jcL23y",2015-12-30
"Still looking for your #NYE outfit? We can help. #ExpressMen https://t.co/ePYK90iRGb https://t.co/Gk8ctWGzgo",2015-12-30
"A bodysuit +skirt instead of an LBD on #NYE? That's crazy enough to work. Ì†ºÌΩ∏#DevonWindsor https://t.co/AlIyxywuF5 https://t.co/lkIlZWbGUZ",2015-12-29
"#NYE is last call for sequin season... Time to cash in. https://t.co/luxGI9c3Kk https://t.co/qkdWprRs3y",2015-12-29
"The suit makes the man but the accessories make the man stand out. #ExpressMen https://t.co/LIHY3IAgnu https://t.co/je3j2lmGyl",2015-12-29
"Shine with every step this #NYE in our favorite sequin pumps. ‚ú®Ì†ºÌæâ https://t.co/kIxh7jOZDr https://t.co/AmX9xps47H",2015-12-28
"Your post-holiday #squad hangs call for soft #OneEleven. #HaileyBaldwin @HaileyBaldwin https://t.co/kp7hNyvxxx https://t.co/Cjyfc4lxUT",2015-12-27
"Get a head start on your resolution with #EXPCore new arrivals. https://t.co/KUfxF2ErZj https://t.co/XzMDR6NFwd",2015-12-27
"Didn't get everything you asked for? Find an Express Factory Outlet &amp; stock up on your faves. https://t.co/osVcGf8wod",2015-12-27
"All the reruns + All the leftovers = All the wins. Ì†ΩÌ≥∫Ì†ºÌΩñÌ†ΩÌ±ç",2015-12-26
"Your guys' night go-to. #ExpressMenÌ†ΩÌ±ñ‚åö https://t.co/m37wBTNJJg https://t.co/OHh85JucHA",2015-12-26
"Meet the perfect #LBD for your kicked back #NYE. https://t.co/56zjz0Id8M https://t.co/DwMxFdWQ4w",2015-12-26
"Capitalize on sequin season with a shimmering pencil skirt. #GiveStyle... Give Express. https://t.co/VuMJjy8oB0 https://t.co/NjNQnXf5Pd",2015-12-25
"May all the gifts be opened and all the hearts be full today. #MerryChristmasÌ†ºÌæÅÌ†ºÌæÑÌ†ΩÌ≤ó",2015-12-25
"Game night for @StephenCurry30. He‚Äôs already got winning style. #StephenCurry #ExpressMen https://t.co/r6xpCqpfwX https://t.co/Sk9zLS9u4E",2015-12-25
"Impress the folks in a #1MX shirt + tie.Ì†ΩÌ±î #ExpressMen #GiveStyle...Give Express. https://t.co/V9F3tezaRH https://t.co/19OBYSOXvP",2015-12-24
"""I'll do it later"" shoppers, later is now! Get 50% off through Dec. 25 #GiveStyle Give Express. https://t.co/byIcjFUyQ7",2015-12-24
"Get 50% off all your last minute gifts now through Dec. 25! #GiveStyle... Give Express https://t.co/sGCg0lp4QI",2015-12-24
"Our #Pinterest fans are feeling the holiday spirit as much as we are. #TopPinned Ì†ºÌæÅÌ†ºÌæÑ https://t.co/t2oZIZupFr https://t.co/4EYkWoDkcJ",2015-12-23
"Winter is officially here! We are still waiting on the ""wonderland"" part though. #FirstDayofWinter ‚õÑ‚ùÑ",2015-12-22
"Celebrate the first day of winter 50% off everything until Dec. 25! #GiveStyle... Give Express https://t.co/0fGgpvSnju",2015-12-22
"Loving our #ExpressEdition collection jacket on #NatalieGeorgala of @nataliageorgala https://t.co/n575W9QFNK https://t.co/cdGQ9LgPov",2015-12-22
"Get 50% off cozy sweaters (&amp; everything else) now through Dec. 25! #GiveStyle...Give Express. https://t.co/zOH6UAa69t",2015-12-22
"Need last minute gifts? Get 50% off everything until Dec. 25! #GiveStyle... Give Express. https://t.co/gc9GOq1j9k",2015-12-21
"Get your style all buttoned up with 50% off everything now through Dec. 25. #ExpressMen #GiveStyle https://t.co/nnNFDoJxZA",2015-12-20
"Last minute shopping? We've got suggestions. #ExpressMen #GiveStyle...Give Express Ì†ºÌæÅ https://t.co/bOMtPdixAr https://t.co/dhNe4NsVtL",2015-12-20
"Never miss an excuse to dress up with #ExpressFactoryOutlet. https://t.co/4hwJSPHEXK https://t.co/Ij441MyBqE",2015-12-20
"Inspire #outfitenvy wherever you go with 50% off everything now through 12/25! #GiveStyle. https://t.co/a2mB7gJnrF https://t.co/ju4HzuImZj",2015-12-19
"Give texture the two-toned treatment like @BrooklynBlonde this season. #GiveStyle https://t.co/ORqjQOQtNe https://t.co/zUHWSehr1h",2015-12-19
"Get fit in 2016 with #EXPCore. The best part? Save 50% on everything now through Christmas! #GiveStyle https://t.co/A97wLBnLyD",2015-12-19
"'Tis the season for texture! We're loving @VivaLuxury in our #ExpressEdition feather skirt. Ì†ΩÌ∏ç https://t.co/Nst8ykgey3",2015-12-18
"The winter chill has us outerwear obsessed. #GiveStyle ...GiveExpress https://t.co/W3SJNqg3Ex https://t.co/v7hg4QVZ76",2015-12-17
"You've got a party? We've got the dress. #GiveStyle...Give Express. Ì†ΩÌ±óhttps://t.co/5rCkZPAwY3 https://t.co/t5mWRg3Jdq",2015-12-17
"All the layers @StephenCurry30 is loving. #GiveStyle... Give Express #StephenCurry https://t.co/ZAfWhSELsL https://t.co/6qQ2HXUDpk",2015-12-17
"Because accessorizing is half the fun. Ì†ΩÌ±ë Ì†ΩÌ±ú #GiveStyle...Give Express. https://t.co/llC6G0wSuG https://t.co/v12zkmoUJw",2015-12-15
"As seen in @GQMagazine: @StephenCurry30 does off-duty like a pro. Ì†ºÌøÄ#stephencurry #ExpressMen https://t.co/IO6vySFfmA",2015-12-15
"#HaileyBaldwin does effortlessly sexy in #ExpressOneEleven. @HaileyBaldwin #GiveStyle https://t.co/5RwNy5wDwa https://t.co/aN3KYIrLiX",2015-12-15
"Give the gift that goes well past the holidays this season. Ì†ºÌæÅhttps://t.co/iVhVrHUhhM https://t.co/JJwGAa9BT7",2015-12-14
"Sunday shopping tip: #TreatYourself at Express Factory Outlet. Find your store now: 
https://t.co/2bXdpxNIEf https://t.co/NNeyPzKAAM",2015-12-13
"We're not ready for winter, but our accessories are. ‚ùÑ‚õÑ #GiveStyle https://t.co/6p9dQ4qalk https://t.co/EpkdVTbu8t",2015-12-13
"Today is the last day‚ÄºÔ∏è Get $25 off every $100 that you spend: https://t.co/EjHlevKycZ https://t.co/0D7k8HoWVy",2015-12-13
"Easy like Sunday morning style. #ExpressMen #GiveStyle https://t.co/JqMchdIWV8",2015-12-13
"Give the gift of luxury with our #ExpressEdition capsule collection. #GiveStyle https://t.co/5OUxcxMzdm https://t.co/3bxhLWtmRn",2015-12-12
"We're sleeping in today... And we will not apologize. #SorryNotSorry",2015-12-12
"We know what men really want...And it's all in our gift guide. Ì†ΩÌ∏â #GiveStyle https://t.co/tpkDuQl8dk https://t.co/ChLe684tZk",2015-12-12
"Do you like snapchat? We like snapchat! Friend Express on #Snapchat! Ì†ΩÌ±ª https://t.co/BM8kcu9XNI",2015-12-11
"Sweater season is in full effect! Stock up this weekend with $25 off every $100 now-Sunday: https://t.co/m3iKgNDuRu https://t.co/pns2El0SUk",2015-12-11
"As seen in @GQMagazine : @StephenCurry30 in our Photographer suit. Ì†ΩÌ±ÄÌ†ΩÌ±åÌ†ºÌøªÌ†ΩÌ≤Ø https://t.co/ru5x7T8qfV https://t.co/7MuGR0jjuh",2015-12-09
"He needs all of it. Yes, ALL of it. Ì†ºÌæÅ #FeaturedBrands #ExpressMen #GiveStyle https://t.co/O84WdfItgy https://t.co/kwtIxRE5kU",2015-12-09
"#Pinterest is saying YAS to sequins this week. #GiveStyle #TopPinned ‚ú®Ì†ºÌæÅ https://t.co/ISh4al7WJj https://t.co/SRCHe8FNhF",2015-12-09
"The gift that always fits: An Express gift card + a cozy scarf. #GiveStyle https://t.co/0Kma9ywPsB",2015-12-08
"Jetset style to go via #ExpressMen + @onedapperstreet. ‚úà #GiveStyle

https://t.co/qDbW66EE97 https://t.co/MBOrS4m3dn",2015-12-08
"Take on ""team meeting Tuesday"" like a boss in our #Portofino shirt. #GiveStyle

https://t.co/zwAnLLpfQG https://t.co/Nqlwhx9Cxo",2015-12-08
"Our idea of the #MondayBlues. Ì†ΩÌ≤ô #GiveStyle #ExpressMen

https://t.co/ieRNcPoYRl https://t.co/UigI4Xuwgn",2015-12-07
"All the gifts she's hoping Santa brings this season. #GiveStyle Ì†ºÌæÅÌ†ºÌæÑÌ†ºÌæÖÌ†ºÌøª

https://t.co/bo5ZIaF9dE https://t.co/yzbb9SoWdW",2015-12-07
"Our gift guides are the miracle cure for ""shoppers block"" #GiveStyle Ì†ºÌæÅ
https://t.co/2UemXg0Sed https://t.co/KdEi4xLOBT",2015-12-06
"What to wear: A streamlined suit that makes your party crush swoon. Ì†ΩÌ∏ç #GiveStyle
https://t.co/PtCUUvN7pO https://t.co/VCx8iXYU8U",2015-12-05
"Going out later? Find the perfect party look at Express Factory Outlet. Ì†ºÌΩ∏ #GiveStyle
https://t.co/S3oMr4CA6x https://t.co/mqMsN3i48c",2015-12-05
"As seen in @GQMagazine --- @StephenCurry30  never misses, &amp; neither do our sharp suits. #GiveStyle https://t.co/WRqLwZaO6O",2015-12-05
"It's Friday! Or as we like to call it, the weekend's opening ceremony. Ì†ºÌΩª",2015-12-04
"Getting gorgeous with @GalMeetsGlam and our favorite shade of lipgloss. #GiveStyle Ì†ΩÌ∏òÌ†ΩÌ≤Ñ https://t.co/9Np7B4olBp",2015-12-04
"The coat is only the beginning. Warm up your holiday with our cozy winter accessories.  https://t.co/7nLBs7WmWg https://t.co/gUPTCDWazY",2015-12-04
"Our #1MX shirts are all about no-fuss sophistication. #GiveStyle #ExpressMen
https://t.co/1VIeif4aGp https://t.co/Dj6kIv7HXt",2015-12-04
"Give your #LBD an upgrade with sexy cutout details. #GiveStyle https://t.co/HUThFGnEmR https://t.co/259s1Uq1Uk",2015-12-03
"We're in the holiday spirit today in #NYC! Follow Express on Snapchat to see our adventure in the city. ‚ùÑ‚ùÑ‚ùÑ https://t.co/c7MUqHKZiz",2015-12-03
"Cuddle up in comfort with our favorite sweaters all season long. ‚õÑÔ∏è
https://t.co/rHidS1A3tk https://t.co/S9h9Z59r7x",2015-12-03
"Congrats on another #flawless game last night #StephCurry! Ì†ºÌøÄ https://t.co/fCQEcqlCnH",2015-12-03
"Go from work to wherever in these @CreativeRec high tops from our curated Featured Brands. https://t.co/eIyxlyRB2U https://t.co/LMD7pX2rNw",2015-12-02
"Our #TopPinned embellished flats are so chic, the stilettos are getting jealous. #GiveStyle https://t.co/meFBiWWtiE https://t.co/EDVu691OEs",2015-12-02
"Luxury looks good on everybody. See #ExpressEdition collection on Instagram @ExpressRunway https://t.co/zPnq2tuqSq https://t.co/TFZgFd0P7B",2015-12-02
"Luxe fabrics, delicate details &amp; enduring style define our #ExpressEdition collection. https://t.co/2CAINfh0Eo https://t.co/FVt0kitfo8",2015-12-01
"#ExpressEdition is finally here! Follow us on #IG @ExpressRunway to see our first high-end capsule collection. https://t.co/gcotXGXLRV",2015-12-01
"Last chance! Save 50% off everything+ free shipping today, online only! #CyberMonday https://t.co/NISnVaUcFk https://t.co/vKfVsYLJ4W",2015-12-01
"Don't miss the reveal of #ExpressEdition, our high-end capsule collection tomorrow. Follow us on #IG at ExpressRunway for the first peak!",2015-11-30
"Loving how @bowsandsequins styles our faux fur coat for a night out in #Chicago. #GiveStyle https://t.co/4hO93twml8 https://t.co/TrdDxAKo8p",2015-11-30
"Reasons we ‚ù§Ô∏è the internet: Save 50% off everything+ free shipping today, online only! #CyberMonday https://t.co/vg2XEVajrA",2015-11-30
"We've already curated our Featured Brands for quality so they make perfect gifts. Shop now: https://t.co/WgRjHsth7h https://t.co/2jDd4b6ppP",2015-11-29
"Our deals are still going strong! Shop now and save up to 40% off. #GiveStyle https://t.co/Z17Qxi1pLP",2015-11-29
"Here's some gift inspiration for the special guy on your REALLY nice list. Shop now and save up to 40% off! https://t.co/3B8sYskwWy",2015-11-29
"Get up to 40% off on blogger @Natalieoffduty's gifting picks! #BlackFriday #GiveStyle https://t.co/4nMtoXGExm https://t.co/VHf502Hqn0",2015-11-28
"The only thing better than perfect gifts, is when they're on sale. Get up to 40% off now! https://t.co/yfA9pcZxQ6 https://t.co/VPnzrYJEQF",2015-11-28
"A 17th straight win and 41 points?! @StephenCurry30 definitely showing off some style this season! Ì†ºÌøÄ #StephCurry #NBA #GoldenStateWarriors",2015-11-28
"Don't make this any harder than it has to be... A gift card always fits. #GiveStyle https://t.co/4Pm0aRRYAm",2015-11-28
"Get a jump start on #BlackFriday with 50% off everything! Shop now, sleep in Friday.",2015-11-26
"Love #1MX shirts? You‚Äôll love em more for 50% off. Stock up during our #BlackFriday sale! https://t.co/P2kR9YB1g3 https://t.co/M8b8qS1dSc",2015-11-25
"Our #TopPinned clutch (and everything else) is 50% off til Saturday! #BlackFriday  Ì†ΩÌ∏ç https://t.co/zMTsFrNdIh https://t.co/qtOZHIpvaS",2015-11-25
"Shop a new look online at lunch, have it by dinner. We have same day delivery for NYC residents! Ì†ΩÌ≥¶",2015-11-25
"Shout out to @StephenCurry30 on that RECORD BREAKING 16th win last night! Ì†ºÌøÄ #StephCurry #NBA #GoldenStateWarriors",2015-11-25
"#BlackFriday goal: Find the best gifts for your besties. Ì†ºÌæÅ#GiveStyle Shop our deals now! https://t.co/jv2ajopX5Z https://t.co/bydnnbRpNK",2015-11-25
"Super soft. Super sexy. Enough said. Shop One Eleven &amp; save 50% now: https://t.co/d85NBLkkbQ #OneEleven #GiveStyle https://t.co/H0FQG6gq59",2015-11-24
"Coffee is our blood type. ‚òïÔ∏è‚òïÔ∏è",2015-11-24
"It's time to shop! Save 50% on your favorite dresses, jeans, tees.. well everything really. https://t.co/QuyCbVr3Jb https://t.co/G3SKHbKbGd",2015-11-24
"Deck the halls, and then deck yourself out in luxe velvet for your next holiday party. Ì†ºÌæâ #GiveStyle #ExpressMen https://t.co/LWnMH7ea79",2015-11-24
"Style star #StephenCurry is taking our blazer into overtime as seen in @GQMagazine ! #ExpressMen Ì†ºÌøÄ https://t.co/Gm0Ixb9u6y",2015-11-23
"Enter for a chance to spend #NYE in #NYC! Click to enter: https://t.co/x6wVG8j1x7 Rules: https://t.co/tbOhqjiTpn",2015-11-23
"Loving how @bowsandsequins is styling our fave hi-lo turtleneck sweater. https://t.co/ZCXwEYrxvM https://t.co/oZ96REA11g",2015-11-22
".@StephenCurry30-approved cozy sweaters: like you needed another reason to love 'em. #ExpressMen #StephCurry https://t.co/IgQwNg9vH8",2015-11-22
"Don't miss this deal! Today is the last day to get $25 off every $100 that you spend. https://t.co/0ifrgH4Gx7 https://t.co/MfWKAfI62n",2015-11-22
"When @haileybaldwin has a birthday... We all celebrate. #HappyBirthdayHailey Ì†ºÌΩ∏Ì†ºÌæâ https://t.co/qP5gzjhJtL",2015-11-22
".@JoanSmalls is giving us major #PonchoGoals. #GiveStyle https://t.co/onA9eaTERs https://t.co/K342ljzeOn",2015-11-21
"From yoga to coffee to errands, #EXPCore + #OneEleven is the it-girl on-the-go‚Äôs #BFF. https://t.co/t1elcLGbk1",2015-11-21
"Add guilt-free holiday shopping to your weekend &amp; head to an Express Factory Outlet. https://t.co/SIfXgdrGxo https://t.co/By1IS0aPxv",2015-11-21
"Stock up for #sweaterweather now through Sunday with $25 off every $100 you spend! https://t.co/S50BfEkLaz https://t.co/LhI0URVSaB",2015-11-20
"One shape, endless styling options. We‚Äôve put a new twist on the classic flare. Ì†ΩÌ∏çÌ†ΩÌ±ñ#ExpressJeans https://t.co/f6v8LdZffj",2015-11-20
"Nail the interview, and then score the promotion in our best suits. #ExpressMen https://t.co/FodPb9UE3l https://t.co/LhvmVn5Rbr",2015-11-20
"Today your #fitnessgoals. Tomorrow the world. Take on anything in #EXPCore Ì†ΩÌ≤™ #HaileyBaldwin https://t.co/kZJ1UdVpM1 https://t.co/WjNAdLuHCV",2015-11-20
"Black is the new black. #GiveStyle

https://t.co/Kvt7nihEMr https://t.co/0TnwQOvK28",2015-11-19
"Our Featured Brands collection from @owenandfred was tailor made for the handsome gents. #GiveStyle #ExpressMen https://t.co/QOhvjHNpof",2015-11-19
"We're celebrating our new capsule collection with @haileybaldwin. Friend EXPRESS on Snapchat to see #ExpressEdition. https://t.co/1IsDhNvOvS",2015-11-19
"Enter Here: https://t.co/b7pdlgzxSt
Official Rules: https://t.co/ze7qA30IHq https://t.co/tUuFvqbo8Q",2015-11-18
"Congrats to @StephenCurry30 on an amazing game last night! The MVP is looking good on and off the court this season. https://t.co/21tZJVxcve",2015-11-18
"Put on your party pants and shine all night! ‚ú® #GiveStyle #TopPinned https://t.co/EztoghVFG2 https://t.co/lKjteJgYpW",2015-11-18
"Blogger Gift Picks: Vanilla Extract selects her cozy chic faves for the holidays. Ì†ºÌæÅ
https://t.co/IN9lJ5syPG https://t.co/0WthbboIvL",2015-11-17
"Take luxe to a new level this holiday season with @StephenCurry30 top picks. #GiveStyle https://t.co/EnahrxnKWs https://t.co/a1tSHSsTMf",2015-11-17
"Do #NYE in #NYC like a VIP! Click here to enter: https://t.co/tQgy0jYPb0
Official rules: https://t.co/K7z3jl99tp",2015-11-16
"Lunch hour to happy hour, our Portofino goes everywhere you do.Ì†ΩÌ≤ºÌ†ºÌΩ∏
https://t.co/ZXNhq0ZprP https://t.co/E3oKItszjP",2015-11-16
"Blogger Gift Picks: Know a man who loves to travel? Here's what to get him, according to @brendanfallis. #DJFallis https://t.co/5bIgjNLRPj",2015-11-16
"Sundays were made for our coziest layers. #SweaterWeather https://t.co/XLKAEdWdAh https://t.co/WyZY5NMoGp",2015-11-16
"For an instantly glam upgrade, just add faux fur.Ì†ΩÌ≤Åhttps://t.co/2oDuqI4v6G https://t.co/A9uTHHgRaY",2015-11-15
"Do NYE in NYC like a VIP! Enter here: https://t.co/tnyby23Fcr See rules: https://t.co/fHI7ZWqMXr #EXPSweeps",2015-11-15
"Black and white and warm all over. Beat the chill with our winter accessories.‚ùÑ‚õÑhttps://t.co/EEDIC3EgJy https://t.co/i8pODVjnhM",2015-11-15
"If you can't stay in bed, you may as well wrap up in a cozy blanket coat. Ì†ºÌΩÇhttps://t.co/LtgWcIy9O8 https://t.co/LtwGvh33li",2015-11-15
"Walk tall in our sky high black booties. #ShoefieGameStrong #LoveExpress https://t.co/Komy29opo1 https://t.co/kmbsfjawWg",2015-11-15
"Enter for a chance to spend #NYE in #NYC with your squad! Ì†ºÌæâÌ†ºÌΩ∏ 
Enter Here: https://t.co/6TrVN2Q7Gr Official Rules: https://t.co/cCuPQzOrr4",2015-11-14
"Treat yourself to something chic this weekend. Find an Express Factory Outlet near you! https://t.co/TtwE4cOVH1 https://t.co/xGr91IzutZ",2015-11-13
"We're having all kinds of fun on Snapchat... Friend Express to see what we're talking about. https://t.co/QmtQAXNi8U",2015-11-13
"Win a trip to #NYC for #NYE w/ your #squad--on us!Ì†ºÌΩ∏Ì†ºÌæâ #EXPSweeps 
Enter Here: https://t.co/oNLCYm4Pub Official rules :https://t.co/q5iJvQYEqn",2015-11-13
"Give the gift of shopping this holiday season-- no wrapping required. #GiveStyle https://t.co/mgZJKYfSwp https://t.co/990mCDWHxL",2015-11-13
"Thursdays be like: ""It's almost the weekend... Hope you're thirsty."" Ì†ºÌΩπ",2015-11-12
"Enter for a chance to spend NYE in NYC w/ your squad! #EXPSweeps Enter Here: https://t.co/16VL5LwdHs Official rules: https://t.co/OGehjKlrCd",2015-11-12
"Get on your style A-game like MVP @StephenCurry30 #StephenCurry #ExpressMen https://t.co/I3okf1TGWB",2015-11-11
"Rugged details landed @RobertMasonCo bags on our curated Featured Brands list. #ExpressMen https://t.co/yL4mJoHpzF https://t.co/p4B8gwsrFb",2015-11-11
"Today‚Äôs your last chance to take $25 off every $100 you spend at select stores‚ùóÔ∏è https://t.co/De27qj7dxU https://t.co/pHVn8PdnF4",2015-11-11
"Sequins are the secret ingredient of holiday cheer. #TopPinned #GiveStyle https://t.co/5cxwImtrLA",2015-11-11
"We're having all kinds of fun on Snapchat... Friend Express to see what we're talking about. https://t.co/jFGRVvpVE1",2015-11-10
"Wrap up this winter in our favorite blanket scarves.‚ùÑ #GiveStyle #JoanSmalls
https://t.co/UeWrkN1zY8 https://t.co/QeoZt0BZ4K",2015-11-10
"You'll never want to take them off. #GiveStyle #SweaterWeather
https://t.co/Y0Kveu15va https://t.co/7zbudBt6a5",2015-11-10
"Enter for a chance to win a trip to #NYC for #NYE!Ì†ºÌΩ∏Ì†ºÌæâ #EXPSweeps Enter here: https://t.co/O4cDdb1oUE Official rules: https://t.co/kVFOC37l0j",2015-11-10
"Win a trip to NYC for you + 3 friends! #EXPSweeps  Ì†ºÌæâ Enter Here: https://t.co/toPpiaB4MB 
Official rules: https://t.co/HoaAdgUQeC",2015-11-10
"If it weren't for Mondays, Fridays wouldn't feel so good... Right?",2015-11-10
"A cozy sweater is our go-to top layer. #LoveExpress https://t.co/BbjFppEXTC",2015-11-03
"Give the gift of shopping this holiday season. No wrapping required. #GiveStyle Ì†ºÌæÅ
https://t.co/vYJb9HRHgH https://t.co/ulvcwNltuH",2015-11-03
"Our super soft #OneEleven collection is how we deal with Monday. https://t.co/oA7dU9ffEA https://t.co/Nq0H5iQeKM",2015-11-03
"Enter for a chance to win a trip to #NYC for #NYE ! Ì†ΩÌ∑Ω Enter here: https://t.co/AkPCoX6AQI Official rules: https://t.co/uvzkMPRLCE",2015-11-02
"Let our fave statement scarves do the talking. #LoveExpress https://t.co/W0NerMWPcs https://t.co/Eaiejs9kY7",2015-11-02
"Channel the 70s glam look to crush your last-minute costume party. #LoveExpress https://t.co/fhkUCuna49 https://t.co/n6fzt7ngvo",2015-10-31
"Does wine pair well with candy? Asking for a friend...Ì†ºÌΩ≠Ì†ºÌΩ∑",2015-10-31
"Need #Halloween makeup inspo? Friend Express on #Snapchat for easy tutorials to nail your costume! https://t.co/TFy3qD7ZDb",2015-10-30
"Bold berry on repeat. We can't get enough of this season's it-color. #LoveExpress
https://t.co/LsUY8Ufar5 https://t.co/Iiphfh5ziO",2015-10-30
"Blogger @justinliv is the MVP of casual weekend wear. #ExpressMen https://t.co/64OkEmj2uR",2015-10-30
"Stacks on stacks on stacks of our favorite fabric. #OneEleven Ì†ΩÌ∏ç
https://t.co/KJmOZqkduB https://t.co/LtHCu7fPR5",2015-10-30
"Do off-duty like an it-girl with cozy layers and sleek leggings. #LoveExpress https://t.co/bknsOFjwqw",2015-10-29
"Your new weekend uniform = fave denim + #OneEleven. #LoveExpress https://t.co/LyxI0i0JWv",2015-10-29
"Details separate men from boys. Complete your look w/ our Featured Brand extras.#ExpressMen https://t.co/aqYCgrnM3e https://t.co/DZou3hScEW",2015-10-28
"Our perfect-everyday striped sweater dress is a Pinterest fave! #TopPinned #LoveExpress

https://t.co/mbRvpm1e5j https://t.co/zwyDytO0GH",2015-10-28
"It's #NationalChocolateDay...We're calling dibs on all the good candy before trick-or-treating. #SorryKid Ì†ºÌΩ´Ì†ºÌΩ≠Ì†ºÌΩ¨",2015-10-28
"We can't wait to see our fave #MVP dominate the court tonight. #GameTime #StephenCurry Ì†ºÌøÄ https://t.co/qUjN7czVQm",2015-10-27
"Our #ExpressMen sweaters will effortlessly take you from work to happy hour.
https://t.co/07NZ0VnjRS https://t.co/jcNlkc4Bma",2015-10-27
"Blogger @IAmGalla makes us wish tuxedo time was all the time. Ì†ΩÌ∏ç #ExpressMen https://t.co/Dd2CwwbdeS",2015-10-27
"Our skinny scarf adds instant glam to your ""on the go"" look. #LoveExpress
https://t.co/Q4QKSyW4NU https://t.co/evV1x4QBJi",2015-10-27
"Job promotion starter pack: Camel overcoat, 1MX shirts, and confidence for days.#ExpressMen https://t.co/WvF1tU0RUE",2015-10-26
"Bombshell blogger @brooklynblonde gets back to black in our sleek culottes. #LoveExpress Ì†ΩÌ≤ÅÌ†ΩÌ≤£
https://t.co/vRcqA2NiOy https://t.co/nhYwGwNLyt",2015-10-26
"We ‚ù§ how @nanysklozet adds flare to our go-to fall sweater. Perfect for those on-the-go girl vibes. #LoveExpress https://t.co/fwz0BcN1qi",2015-10-25
"We are living for chinos + denim. @OneDapperStreet has Sunday casual down to a science. https://t.co/wGAslE2wSR",2015-10-25
"When you can't decide between a Bloody Mary and a Mimosa. #ChampagneProblems #TheStruggle",2015-10-25
"FACT: When you wear sequins the party comes to you.Ì†ºÌΩ∏#LoveExpress https://t.co/doFSLNvIrF",2015-10-24
"Soft + sexy #OneEleven = Too hot to handle, too chill to care. Ì†ΩÌ¥•‚õÑÌ†ΩÌ∏é
https://t.co/JM6jw17ta3 https://t.co/xN21uOJGHh",2015-10-24
"We've got a sexy legging for every occasion. #nopantsdance #LoveExpress
https://t.co/ybWpkzoSj7 https://t.co/uuPadWfNxf",2015-10-24
"What to wear this weekend: Classic outerwear to elevate your trusty jeans and tee combo. #ExpressMen Ì†ΩÌ±ç https://t.co/joQjYaRvHd",2015-10-23
"We have a serious sweater obsession. #sorrynotsorry #LoveExpress https://t.co/idydkKLsM3 https://t.co/wItIh5Gyzg",2015-10-23
"Here are some old emojis to explain how excited we are about new emojis: Ì†ΩÌ∏çÌ†ΩÌ∏ÜÌ†ΩÌπåÌ†ΩÌ∏¨",2015-10-23
"Our idea of a two-piece for fall. Ì†ºÌΩÇ https://t.co/ZBbuMQ81p0",2015-10-23
"If only you could #SwipeRIght on pizza.
Ì†ºÌΩïÌ†ºÌΩïÌ†ºÌΩï",2015-10-23
"There's no wrong way to drink whiskey, but over @Teroforma whiskey stones is the best way. https://t.co/i6XooO8LMY https://t.co/8WSLm37KZ6",2015-10-22
"Just spotted on set: corgis! Ì†ΩÌ∞∂ Friend Express on Snapchat to see behind-the-scenes of our shoot in #NYC today! https://t.co/ldNwWHFyD4",2015-10-22
"All that glitters isn't gold... Sometimes it's teal. Ì†ΩÌ∏ç‚ú®
https://t.co/lLVMktqWt5 https://t.co/uVJsSQrgeK",2015-10-22
"Downtown cool meet uptown chic... We love you both equally. #LoveExpress https://t.co/VGuUaWCBrq",2015-10-21
"Feminine lace + classic plaid = Fan favorite. #TopPinned #LoveExpress
https://t.co/w3zntkYbYs https://t.co/U4jsEWVuH9",2015-10-21
"The key to no-fail 9-5 style? Our professional Portofino shirt. #LoveExpress
https://t.co/oX3dS1Hxvs https://t.co/jsHG5xoVXD",2015-10-21
"Add some edge to a pencil skirt like our style crush @RumiNeely and pair with a crop top. Ì†ΩÌ∏ç https://t.co/UCRXhDsETB",2015-10-21
"Our #OneEleven collection means Tuesday night comfort with a Saturday night vibe.
https://t.co/GquDylnyt4 https://t.co/DpEdLWMXj6",2015-10-20
"Your business-to-pleasure cheat sheet: Tees, ties and all-purpose outerwear. Ì†ΩÌ∏é #ExpressMen https://t.co/jMJxYzIPte",2015-10-20
"Raise your hand if you think Monday workouts should count double. Ì†ΩÌπãÌ†ΩÌ≤™",2015-10-19
"The Most Valuable Player in our Most Valuable Layers. #StephenCurry #ExpressMen
https://t.co/YhWdmeZWiR https://t.co/uLxhL2qAXN",2015-10-19
"FACT: There is no such thing as too many perfect sweaters. #LoveExpress Ì†ΩÌπå http://t.co/7yLa1uchYF",2015-10-19
"#StephenCurry shows you how to do #sweaterweather like a #MVP. http://t.co/O0ctF4BHXf",2015-10-18
"Brunch is best during #SweaterWeather. Sip mimosas in our our fave fall sweaters. http://t.co/KWcJZTKWIj http://t.co/YVWLe0yF5Z",2015-10-18
"Saturday night never looked so good with our fall new arrivals: http://t.co/Pswp8zRfzZ http://t.co/ZdQoKa62Gw",2015-10-17
"We're pretty sure #SweetestDay is some sort of trap...",2015-10-17
"Two lists our party looks will always land you on: ""Best Dressed"" and #VIP. http://t.co/OprKm3BPN6",2015-10-17
"#HappyHourHack: Go from desk to drinks in our sweater dresses. #LoveExpress http://t.co/Gma4AqYpd3",2015-10-16
"Tag along as we hit up NYC‚Äôs sweetest spots on a fall adventure! Friend ""Express"" on Snapchat to join now. http://t.co/6yvMoJ7cEA",2015-10-16
