"lofttext","date"
"We can't get enough of this pretty print from our LOFT x  Village Ways Charitable Trust‚Ä¶ https://t.co/qJkYIgM2j5",2016-02-10
"@districtofash Sorry to hear. Please contact us directly at LOFTFacebook@anninc.com if we can assist further.",2016-02-09
"@suzyelsmith Sorry to disappoint you. We will share your feedback.",2016-02-09
"This Valentine‚Äôs Day, We‚Äôre celebrating our first loves: our moms. We‚Äôve dressed up a few‚Ä¶ https://t.co/3SKOMmDaqa",2016-02-09
"@mayajimenez Please contact us at clientservices@LOFT.com for additional assistance.",2016-02-08
"Anyone else in it for the snacks Ì†ΩÌ∏â? #superbowl #loveloft https://t.co/dnzOKug5DS",2016-02-08
"Our latest obsession, The Flannel Blazer. https://t.co/SUHgg1M0nx https://t.co/JuOeqxCmOO",2016-01-29
"Need a denim upgrade? Look no further. #Ì†ΩÌ±ñ #loveloft https://t.co/cov6rM8GlR",2016-01-29
"@jen7bartle So sorry to learn of any disappointment with your order. We've requested additional follow up and you will be contacted soon.",2016-01-28
"The perfect sweater to wear now (and later). https://t.co/uRZUGdFNAK https://t.co/Cps6Ky6q1v",2016-01-28
"Nothing makes us happier than our furry friends Ì†ΩÌ∞∂. Ì†ΩÌ≤å of silly_maisie by lucy_mail #loveloft‚Ä¶ https://t.co/INcKk1gPV6",2016-01-28
"Major Ì†ºÌº∏ vibes from @poorlilitgirl in our Floral Flounce Dress. #wearnowwearlater #loveloft https://t.co/9OYrSiLc5G",2016-01-26
"We have our stripes on repeat this month. https://t.co/ILacXMfYDa https://t.co/VeP0la5iRL",2016-01-26
"Oversized sweaters for the win. https://t.co/IVeONQ0a40 https://t.co/ZXxjqtHzS1",2016-01-25
"Made it through Monday thanks to this guy Ì†ΩÌ∞ª‚òïÔ∏è. #latteart #loveloft @ Bibble &amp; Sip https://t.co/GqRXcrI6sd",2016-01-25
"Cold outside but it's cozy in here Ì†ΩÌπå. #loveloft https://t.co/Gh3UplcNrr",2016-01-25
"All the feels for winter activities, especially ice skating even though we're not that good at‚Ä¶ https://t.co/WiBPEaWzsz",2016-01-23
"Braving the ‚ùÑÔ∏è with hot cocoa and a warm puffer. #blizzard2016 #loveloft https://t.co/vlrebqEs15",2016-01-23
"Trade in your blazer for our Tweed Open Jacket Ì†ΩÌπå. #loveloft https://t.co/SoHv2C4GJG",2016-01-21
"@ErinLWillmann Hi Erin! If you could send us your email and info to LOFTFacebook@anninc.com we should be able to assist.",2016-01-21
"@melismarr Sorry to hear about this Melissa. Feel free to reach out to us at LOFTFacebook@anninc.com with details.",2016-01-21
"Go ahead--you deserve a denim upgrade. https://t.co/vIvkTzjo2x https://t.co/X6GrQkWVjr",2016-01-21
"Fuzzy, nubby + fine. Sweaters that will add texture to your life. Shop now: https://t.co/3xvzjXaPDd https://t.co/6sQO1297Ij",2016-01-20
"Prettiest in pink Ì†ΩÌ∏ç #loveloft https://t.co/hIYb7HFTmy",2016-01-20
"Dear Cozy Socks, 
You keep our feet toasty and our hearts warm. We couldn't get through winter‚Ä¶ https://t.co/IhRiCMA3Z9",2016-01-19
"@kerri_macdonald We do have a separate Canadian email list. If you need added to this please contact us at LOFTFacebook@anninc.com",2016-01-19
"Don't let the chill stop you from looking your best. Find your work-winter balance at LOFT: https://t.co/9OICFFMQil https://t.co/omYXgIIA4K",2016-01-19
"@karonnalime The feeling is mutual ;)",2016-01-19
"This sale is way too juicy to keep to ourselves. https://t.co/CD9Gr4kduz https://t.co/uQn8mpZaPX",2016-01-19
"@frustratedtrvlr So sorry for the frustration. If you are still receiving emails please contact us at LOFTFacebook@anninc.com",2016-01-19
"@lynds_s Sorry to hear about this! Please email more details at LOFTFacebook@anninc.com",2016-01-19
"Chilly mornings in winter white. #freezing #loveloft https://t.co/lflAqN4qUz",2016-01-19
"Post-work plans? Dress down your 9-5 look by adding your favorite denim jacket. #loveloft https://t.co/ka46bKhYwy",2016-01-18
"The Getaway Sale: 40% off new arrivals and 60% off sale items. Go nuts (because it's back to work tomorrow). https://t.co/ETH8CLKewM",2016-01-18
"Dreaming of cozy sweaters in every texture imaginable Ì†ΩÌπå. #loveloft https://t.co/p0HeSIHjDX",2016-01-18
"Starting the weekend off on a casual note in our go-to pair of jeans, The Modern Sateen SkinnyÌ†ΩÌ±ñ.‚Ä¶ https://t.co/uYf4IIkdfm",2016-01-15
"Have you checked out your yearly horoscope? Click the link in our profile to read now Ì†ΩÌ±ç.‚Ä¶ https://t.co/iaw3NMmysM",2016-01-15
"Get the royal treatment from our favorite styles in lavenders, lilacs and violets. https://t.co/d3gb9IGVBS https://t.co/jinh88Ou9w",2016-01-14
"Shout out to this polished puffer for keeping us warm Ì†ΩÌ≤ï. #loveloft https://t.co/7HokT0Xn1x",2016-01-13
"Find your work-winter balance. #weartowork #loveloft https://t.co/yDT9JBcOxk",2016-01-12
"@EBuschang So sorry to hear that! We would advise taking the item to your local store for return/exchange options.",2016-01-12
"@Shevonne_S Sorry for any disappointment! Although we do not have an extended return timeframe for the holidays, we will share your feedback",2016-01-12
"@natalieivory We definitely are ;)",2016-01-12
"We love how effortlessly cool @fleurdille looks in our Lace Shoulder Blouse. #ootd #loveloft https://t.co/8SYsuUeuOV",2016-01-12
"Denim on denim. #loveloft https://t.co/646aWR3jf5",2016-01-11
"These slip-ons are pedestal worthy. #seeingspots #loveloft https://t.co/ytLhCJNwre",2016-01-10
"Best. Gift. Ever. #loveloft https://t.co/XKVZsj9lDh",2016-01-08
"@NeenerJB We are so sorry to hear that! Please email us at LOFTFacebook@anninc.com with order details and we will follow up further.",2016-01-08
"New Year, new outfits, new arrivals. Shop now: https://t.co/BYMcnLpXes https://t.co/O5Z3vwyKDK",2016-01-07
"One of our resolutions for 2016? Work on that green thumb. #loveloft https://t.co/7vfRz2nZT0",2016-01-07
"We ‚ù§Ô∏è winter gingham. #loveloft https://t.co/kuZrYQjRy6",2016-01-06
"@kelli_nak We aren‚Äôt aware of any issues. Try clearing your cache and changing your browser to Google Chrome and see if that helps!",2016-01-06
"Layering with our Cable Sweater for warmth Ì†ΩÌ¥•. #loveloft https://t.co/TXIhihG1uO",2016-01-05
"@mrsjasmith So sorry to hear that! We would advise taking the item and receipt to your local  LOFT store for return/exchange options.",2016-01-05
"@alicemcalex So sorry to hear about your recent LOFT order! Please email us at LOFTFacebook@anninc.com and we will follow up!",2016-01-04
"Well rested and ready to take on the work week. #strideby #loveloft https://t.co/wZB1ZkL1BK",2016-01-04
"Soft scarves and good company. #sundaze #loveloft https://t.co/wBzOOFWMOf",2016-01-03
"Love, career, friendship and more--we think 2016 is going to be your best year ever Ì†ºÌæâ. Click the‚Ä¶ https://t.co/dFr9LiO6Xc",2016-01-02
"Love, career, friendship and more-- see how your best year ever is going to unfold: https://t.co/g250l1EQzD https://t.co/EVgYCVjsMK",2016-01-01
"Where will you be when the ball drops? #happynewyear #loveloft https://t.co/5GjV09QDo9",2016-01-01
"Thank you all for supporting @StJude #GiveThanks this holiday season. Learn more about this amazing place: https://t.co/Y5v2x5wa5E",2015-12-31
"Our Puffer Vest goes to Peru Ì†ΩÌπå. We love when you pack us in your suitcase Ì†ΩÌ∏â. #loveloft https://t.co/AfJB4imvBI",2015-12-31
"Work outfits, right this way. https://t.co/b90UkN9gAA https://t.co/8EpaBHb44w",2015-12-30
"We love a good turtleneck. #loveloft https://t.co/dpYdjVOwWG",2015-12-30
"Huff and puffer your way to the last run of the day. https://t.co/1E4yf0EntJ https://t.co/ktYJrgezEo",2015-12-29
"The must have layer for winter. #loveloft https://t.co/nax8Y8kNo2",2015-12-29
"Knock on wood that winter won't last forever. Until then, layer it on thick. https://t.co/TDUNXXOY8V https://t.co/qesbPlopBS",2015-12-28
"Our go-to coat in wintery white. #loveloft https://t.co/A1ZhSCimKK",2015-12-28
"A dress and parka--the ultimate cold-weather combo for staying warm and looking stylish. https://t.co/2xlIk1bHjj https://t.co/AMBYe4CrLu",2015-12-27
"We had a very cozy holiday. #sockswag #loveloft https://t.co/N1pJUoLvET",2015-12-26
"Behold, the buffalo check in its natural habitat... the wood cabin. https://t.co/7OCw8feER4 https://t.co/rlwOWNlSZY",2015-12-26
"Merry everything, happy always. Love, LOFT. https://t.co/sU9Ozr8BIB https://t.co/alygDhD9Xs",2015-12-25
"Merry everything, happy always. #loveloft https://t.co/WCdgHVvLvV",2015-12-25
"And to all a good night. #loveloft https://t.co/pSh7DtEbm5",2015-12-25
"Our socks were hung by the chimney with care ‚ù§Ô∏è @melodramablog #loveloft https://t.co/85Gt9c6aEz",2015-12-24
"The cutest way to spend winter is under a blanket-like poncho. Shop The Monthly Edit: https://t.co/lao9Sl30H0 https://t.co/cIoREKjwH7",2015-12-17
"A different color for everyone on your gift list. #loveloft https://t.co/GAbBcrD9uC",2015-12-17
"Halfway through the workweek. #loveloft https://t.co/C3HJdhbvNs",2015-12-16
"@kharr89 We‚Äôre sorry for any disappointment. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-12-16
"All's fairisle in frost and snow. Shop The Monthly Edit: https://t.co/sfTMTm62ZF https://t.co/JY4kHTFMjI",2015-12-16
"@The_GeekGrl We‚Äôre sorry for any disappointment. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-12-16
"@prtcpnt_obsrvr We‚Äôre sorry for any disappointment. If you would like to connect further please email us at LOFTFacebook@anninc.com",2015-12-16
"These flats will add holiday cheer to any outfit. #loveloft https://t.co/KmqHSTROiU",2015-12-15
"@molly2179 We‚Äôre sorry for any disappointment. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-12-15
"@MollysNature We‚Äôre sorry for any disappointment. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-12-15
"@humanbeanss Please contact your local store and they would be happy to assist you further!",2015-12-15
"Come celebrate National Cupcake Day with a (free) sweet treat from @magnoliabakery. #nationalcupcakeday
https://t.co/a8wzLJmQS5",2015-12-15
"The ""nice"" list. Our favorite styles for gifting are now 50% off: https://t.co/pHCCJGLeDs https://t.co/NXAsV3GGZR",2015-12-15
"Hey NYC + Chicago, wanna cupcake? We've teamed up with @magnoliabakery to celebrate National‚Ä¶ https://t.co/oRVtRcxFZp",2015-12-15
"File under ""festive attire."" #loveloft https://t.co/9SqYfRzDBu",2015-12-14
"NYC + Chicago: Did you know tomorrow is National Cupcake Day? We've teamed up w/ @magnoliabakery to bring you some sweet treats. Stay tuned!",2015-12-14
"Our newest arrivals will still be here tomorrow. Just not for prices like these... Last few hours to shop 40% off: https://t.co/Xn7kYgmq9Z",2015-12-14
"The PJs you need for a comfy night in. #jamsession #loveloft https://t.co/1r93ef9nUo",2015-12-14
"Seeing stripes. #loveloft https://t.co/SxRNCTtykP",2015-12-14
"Last signs of fall. #loveloft https://t.co/lrGsJl9rQk",2015-12-13
"Saturday night brought to you by layers and lace. #loveloft https://t.co/B0ZSX3mMG9",2015-12-13
"Shop our newest arrivals‚Äîall perfect for the holidays and all 40% off during First Look: https://t.co/niUvAHcmK5 https://t.co/4hF99IYizn",2015-12-12
"Final Hours! Redeem your LOFT Cash Cards to save $25 on every $50 you spend: https://t.co/KdbVuLeHSC",2015-12-12
"Last day to redeem your LOFT Cash Cards! https://t.co/ZOymOZexLt",2015-12-11
"This weekend, get wrapped up in our Fringed Sweater Jacket and a good Ì†ΩÌ≥ö. #weekendvibes #loveloft https://t.co/dC0fxiVWSQ",2015-12-11
"5 styles, 3 ways. See how you can get the most out of these festive must-haves, all 40% off: https://t.co/sY6ks5eEbY https://t.co/qv9Y4GSYJ1",2015-12-11
"Let this top be the conversation starter for your office holiday party Ì†ΩÌ∏â #loveloft https://t.co/3eljCWhVdQ",2015-12-10
"Greet the holidays with our most festive looks to wear all season long--and then some. Shop 40% off now: https://t.co/Tq29OxVNek",2015-12-10
"It's not too late! Redeem your LOFT Cash Cards to save $25 on every $50 you spend now through 12/11: https://t.co/ZOymOZexLt",2015-12-10
"When you buy a gift for you sister but keep it for yourself instead‚Ä¶ #selfgifting #loveloft https://t.co/hwOX6hmWAs",2015-12-09
"Use code SNAILMAIL at checkout to shop 40% off everything (+ free shipping)! Online only: https://t.co/NP3lFVmitT",2015-12-09
"You do the shopping, we'll do the heavy lifting. Free shipping + 40% off online at LOFT: https://t.co/74BW636OkC https://t.co/sZfJ54AJH1",2015-12-09
"Date night done casual. #accessorize #loveloft https://t.co/NaNTTtxLVC",2015-12-08
"@milenagiunco Sorry for any shipping delays! You should receive your order within 8 business days.Please call 1 888 LOFT 444 for any issues!",2015-12-08
"@kimmer116 So sorry to hear that! Please email us at LOFTFacebook@anninc.com with order details and we will follow up shortly!",2015-12-08
"@SaraNYIJ Sorry for any shipping delays! You should receive your order within 8 business days. Please call 1 888 LOFT 444 for any issues!",2015-12-08
"We're excited to help support @StJude in their mission to find cures and save children. Learn more: https://t.co/2hnJCbKrCc",2015-12-07
"Today we're feeling pops of burgundy instead of Monday blues. #ootd #loveloft https://t.co/4kizCbgvTK",2015-12-07
"Strike a new cord this season. #loveloft https://t.co/twKmOjkF7W",2015-12-07
"Don't forget to redeem your LOFT Cash Cards to save $25 on every $50 you spend now through 12/11: https://t.co/Q7t1EPEBha",2015-12-06
"Bundle up tonight in our Faux Fur Collar Coat. #loveloft https://t.co/PzYxtKhXJd",2015-12-05
"Since 1962, @StJude has changed the way the world treats pediatric cancer. Learn how we‚Äôre helping save children: https://t.co/QNEkKpAr77",2015-12-05
"Donuts and fairisle, our version of a complete breakfast. #loveloft https://t.co/IARBUJufMQ",2015-12-05
"Friday has us blushing. https://t.co/RxDzmUXfEA https://t.co/euupijOLxs",2015-12-04
"It‚Äôs officially cocoa season ‚òïÔ∏èÌ†ºÌΩ´. #loveloft https://t.co/11ZukeT8TA",2015-12-04
"Start saving! Redeem your LOFT Cash Cards to save $25 on every $50 you spend now through 12/11: https://t.co/GsHxGJmf62",2015-12-04
"Believe us, this sweater is even softer than it looks Ì†ΩÌ∏ç. #loveloft https://t.co/Ye9GA7AV1y",2015-12-03
"@cbeasley620 Sorry to hear of any quality concerns. Please visit our FAQ‚Äôs regarding our Return Practice for additional assistance!",2015-12-03
"@SHANtastic_ We regret any shipping delays; however, all standard ground shipping should deliver within 8 business days!",2015-12-03
"@what_the_font We recommend trying an alternative browser (Chrome, Firefox, Safari) and/or clearing your cache to remedy any issues!",2015-12-03
"@acephotomusings Yes! So happy to hear it!",2015-12-03
"A few of our favorite things. #loveloft https://t.co/ESkJORLIeD",2015-12-03
"@Yup_Im_Awesome2 Please know any earned Cash Cards should arrive in your online order!",2015-12-02
"@heatherSimmon10 Sorry for any disappointment. Please email us at LOFTFacebook@anninc.com with additional details so we can follow up.",2015-12-02
"@scullyyyy We aren‚Äôt aware of any issues. If you need further assistance, please contact 1 888 LOFT 444!",2015-12-02
"All dressed up for December in our Plaid Funnel Coat. #hellodecember #loveloft https://t.co/RMqfBJXnbz",2015-12-01
"The time is now. Redeem your LOFT Cash Cards to save $25 on every $50 you spend through 12/11: https://t.co/wDFu1UuakD",2015-12-01
"You guys would make a perfect pair. Shop shoes at LOFT: https://t.co/FvPT2fhFJi https://t.co/hsrSAKXVQm",2015-12-01
"This #GivingTuesday, we‚Äôre celebrating our partnership w/ @StJude. Learn how you can #GiveThanks and support them: https://t.co/9pZ8G31hkp",2015-12-01
"For all you night owls, don't forget to shop 50% off during our Cyber Monday Sale (+ get free shipping)! https://t.co/Zeiwj0sVqg",2015-12-01
"Tonight is all about shopping (and snuggles). @topknotpolkadot ‚òïÔ∏èÌ†ΩÌ≤∏Ì†ΩÌ∞∂ #cybermonday #loveloft https://t.co/25gPLjmxkN",2015-12-01
"It's not too late! Shop 50% off during our Cyber Monday Sale (did we mention free shipping Ì†ΩÌ∏â). https://t.co/jXYzzq0J1Z",2015-12-01
"Laid-back layering. It is Friday after all Ì†ΩÌ∏â. #TGIF #loveloft https://t.co/lxrEg8xUiS",2015-11-20
"Turkey hangover‚Äîit‚Äôs a thing. Coziness is key when you‚Äôre feeling tired, so grab a soft sweater, PJs‚Ä¶ https://t.co/XieWs4qI7m",2015-11-20
"For cold-outside-hot-inside season. Shop sweaters:https://t.co/MQRlXCjsch https://t.co/cKZE4sxeqB",2015-11-19
"@ItsKeelsBetch We‚Äôre sorry for any disappointment. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-11-19
"@larlarnelson So sorry for any disappointment. At this time we are unable to cancel or edit any orders once they have been placed.",2015-11-19
"Ì†ΩÌ∏ò #dailymantra #loveloft https://t.co/hpRehym3XT",2015-11-18
"@NinaJackson You forgot to add ""...with good taste"" ;)",2015-11-18
"In need of some holiday styling tips? Next up in our collab with @bloglovin is maraferreira, who has‚Ä¶ https://t.co/X5IDkM4vAg",2015-11-18
"Seeing stars (and spots). #loveloft https://t.co/RSjLLbem78",2015-11-17
"The warm &amp; warmer sale. Shop 30% off layering tees, sweaters and outerwear. https://t.co/zgdx8NfvBo https://t.co/XUH2PgxdVM",2015-11-17
"From nape to d√©colletage, we've got you covered. https://t.co/EfIOUz65u2 https://t.co/HqUDuLRtgT",2015-11-17
"@chrislindinger Here is the link to the original product page! https://t.co/AmE1CsaKuk",2015-11-17
"@chrislindinger Unfortunately this sweater is no longer available! We suggest calling the nearest LOFT Outlet.",2015-11-17
"Thanks to @happilygrey, you'll definitely find us cozied up in our Fireside Sweater this week. #ootd‚Ä¶ https://t.co/QnuQxvFM95",2015-11-16
"The festivities end tonight (but don't worry, we're already planning next years). Last chance to shop 40% off: https://t.co/1Vx2PD1QxI",2015-11-16
"@KatyStank It ends at midnight!",2015-11-16
"No family ever pays @StJude for anything. Learn how you can join us and support this amazing place. https://t.co/VLhrz5TLNc",2015-11-16
"@colbe We‚Äôre sorry to hear of your experience. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-11-16
"@swimmergirl331 We‚Äôre sorry to hear of your experience. If you would like to connect further please email us at LOFTFacebook@anninc.com",2015-11-16
"You guys would make a perfect pair. #loveloft https://t.co/Q4mwEICGFH",2015-11-16
"Spend $50, earn $25. Get a $25 LOFT Cash Card for every $50 you spend now through November 30th. Learn more: https://t.co/PhZNyKrBbP",2015-11-16
"Hosting Friendsgiving? We love feminine accents like lace and faux fur. They‚Äôre a great way to look‚Ä¶ https://t.co/QHSG7BsVrd",2015-11-15
"Friday‚Äôs version of the power suit. #jeanstories #loveloft https://t.co/gdg0nWZdqU",2015-11-13
"Shop 40% off everything (which is basically the recipe for your best wardrobe ever). https://t.co/2HmI1r34NV https://t.co/UAtXq1NGYF",2015-11-13
"@juniewrites Sorry for any frustration! We aren‚Äôt aware of any issues; however, please contact 1 888 LOFT 444 for further assistance!",2015-11-13
"@intostardust Sorry for the overall disappointment! Please email us at LOFTFacebook@anninc.com and we will follow up with you directly.",2015-11-13
"Monogrammed denim is happening, are you gonna try It? Check out @lenadunham in her LOFT jean jacket. https://t.co/Mqt3oaNeXW via @People",2015-11-13
"@lifewithred Hi! We aren‚Äôt aware of any issues; however, please contact 1 888 LOFT 444 for ordering assistance!",2015-11-13
"Hosting Friendsgiving this year? Thanks to our collab with @thenewpotato, we have the menu covered.‚Ä¶ https://t.co/ONnOZaWW8x",2015-11-13
"Get crunchin' Ì†ΩÌ±¢Ì†ºÌΩÇ. #loveloft https://t.co/iaqGh0WjaY",2015-11-12
"Feast on this: 40% off everything during the LOFT Friendsgiving Sale. https://t.co/QYtBowV5lF",2015-11-12
"Earn $25 LOFT Cash Card for every $50 you spend now through November 30th. Learn more: https://t.co/uazH3TC7XG",2015-11-12
"@boston_withlove So sorry to hear that! We would advise calling Comenity at 866-730-7902 as they manage all credit card inquiries.",2015-11-12
"The perfect outfit for Friendsgiving prep? A pant-and-tee combo with a cute scarf and cardi‚Äî because‚Ä¶ https://t.co/zGUjnege9p",2015-11-12
"This color combo has us blushing. #loveloft https://t.co/zZTMuyPz06",2015-11-11
"Our gifting motto: One for them, two for you. Shop the Holiday Wish Guide: https://t.co/MVqxtP1wFY",2015-11-11
"Substitute the thanks with friends &amp; the family with people who aren't necessarily torturing each other all night...
https://t.co/JFaQgPadF5",2015-11-11
"In case you haven't checked your horoscope today... https://t.co/Q1Lec2CjKF",2015-11-11
"@Symone_Devine It's 40% off today ;)",2015-11-11
"@Sarah_Ashlock Until the 15th!",2015-11-11
"@kellymatune Both online and in store!",2015-11-11
"@missuslovely So sorry for any disappointment! Our online and retail pricing may vary. We will share your concerns with our Marketing Team.",2015-11-11
"The Friendsgiving sale. Celebrate the season with good friends (us) and great deals (this). https://t.co/xj0WgWBljN https://t.co/C4uorNsrCT",2015-11-11
"Pick a color, any color Ì†ΩÌπå. #loveloft https://t.co/cIWiL5F8Tb",2015-11-11
"This holiday season, we‚Äôve teamed up with Laura and Danielle Kosann‚Äîthe ladies behind the online‚Ä¶ https://t.co/W8tJMYxnzb",2015-11-10
"It's back. Earn $25 LOFT Cash Card for every $50 you spend now through November 30th. Learn more: https://t.co/Qb96ABDk5c",2015-11-10
"Have you checked your horoscope today? https://t.co/zbleFyUGJK",2015-11-10
"We love these snowy shade for chilly days ahead. Shop The Color Of The Month, Winter Whites. https://t.co/pQUyVkwM27 https://t.co/oWtF41CCSy",2015-11-10
"@dotdotdeet They are not gone! You can find them here :) https://t.co/mBH1JsWsDo",2015-11-10
"@AFrizzz We are sorry to hear about your recent LOFT customer service experience. Please email us directly at LOFTFacebook@anninc.com.",2015-11-10
"We'll go to any length to put on a great sale. Shop $20 off pants + skirts: https://t.co/UKOkQovJGp",2015-11-10
"Creature Feature: Meet the party animals featured in The November Monthly Edit: https://t.co/PXb5ogOaRp https://t.co/lPpN3wMISQ",2015-11-10
"@PrimEscalona So sorry about this. I see we were able to refund you yesterday but we regret the difficulty and will share with our teams",2015-10-27
"Slip into something more...cozy. https://t.co/QZcPXKaGPe https://t.co/xCkkhv3HI0",2015-10-27
"Warm and fuzzy. #accessorized #loveloft https://t.co/d5IEfVnMD0",2015-10-27
"Think outside the box this Halloween. Striped shirt + High waist skinnies + Gloves = Cute‚Ä¶ https://t.co/s0CiK9kM0U",2015-10-26
"Monday's watercooler topic: this statement blouse. Shop now: https://t.co/RqJ8Xmh3Vf https://t.co/Uo3IAdQinA",2015-10-26
"Dressed in our Monday blues. #jeanstories #loveloft https://t.co/YT7vdrqL1f",2015-10-26
"Sorry, plaid. There's a new fall motif in town. #medallionprint #loveloft https://t.co/UKLn3IYxqE",2015-10-25
"Get touchy-feely with a textured cardi. https://t.co/jNaADLgA1M https://t.co/5SuJtp2yoH",2015-10-24
"Brunch, the dressing event of the weekend. #mydarlingweekend #loveloft https://t.co/Gcw9Zo5x7c",2015-10-24
"Weekend ready. #TGIF #loveloft https://t.co/MpT4I9Ub8q",2015-10-23
"Shop 40% off everything today at LOFT: https://t.co/UPJCZq6mRs",2015-10-23
"@MyMocha2 Hello, yes you can return two different LOFT orders in one package. Please include the corresponding invoices.",2015-10-23
"Create your own modern romance. Shop new arrivals for fall: https://t.co/Ig6HU5TBZL https://t.co/em3MXUMybc",2015-10-23
"Bottom line, this adds up to a really good deal: 40% off regular price styles and an extra 60% off sale styles. https://t.co/yypbN00Yuh",2015-10-23
"@acephotomusings While we will not be restocking this item, we suggest checking back as sometimes items become available due to exchanges!",2015-10-23
"@natalylaufer We were sorry to hear of your experience. If you would like to connect further please email us at LOFTFacebook@anninc.com",2015-10-22
"The purrfect fall layer, our Colorblock Poncho Sweater Ì†ΩÌ∞±. @keikolynn #instacat #loveloft https://t.co/ENZ66EyiwM",2015-10-22
"A mini dress for work-- or the weekend. Shop The Medallion Print: https://t.co/NQ7vcxT6aW https://t.co/flPSWnjy0y",2015-10-22
"@dedemorgs We‚Äôre sorry for any disappointment. In the event you would like to connect further please email us at LOFTFacebook@anninc.com",2015-10-22
"@kaileybhowell We aren‚Äôt aware of any site issues, however please contact 1.800.LOFT.444 if you need assistance with your order!",2015-10-22
"@cupquakes Sorry to hear of any quality concerns. We will make sure to share with our Merchant Team!",2015-10-22
"@SmallTownCoops Thank you for your feedback, and we apologize for your experience. We will share with the appropriate District team!",2015-10-22
"A top with a flair for the dramatic. Shop now: https://t.co/yxWb1734Bd https://t.co/OrBsVxeRvH",2015-10-22
"@sarakrobinson1 Our thoughts exactly ;)",2015-10-22
"Cuddly sweaters know how to get the job done. Shop now: https://t.co/LQUkbuWjFn https://t.co/4bVULcpgCd",2015-10-22
"@tigakyusi Good choice!",2015-10-22
"@lauratosney We‚Äôre sorry to hear of your experience. If you would like to connect further please email us at LOFTFacebook@anninc.com",2015-10-22
"For a fun time, wear these drapey pants. Shop now: https://t.co/AM5AiNyOjP https://t.co/D3Eq14CyRx",2015-10-21
"Bringing our Belted Coat on every fall outing. #jacketseason #loveloft @ Greig Farm https://t.co/RbZrF7L5qZ",2015-10-21
"@MsNycole Please contact us directly at 1.888.LOFT.444 and an Associate would be happy to help",2015-10-21
"@lessicajoftus We‚Äôre sorry to hear of your experience. If you would like to connect further please email us at LOFTFacebook@anninc.com",2015-10-21
"@halleyrebecca We‚Äôre sorry to hear of your experience.  Please email us at LOFTFacebook@anninc.com with your order number and details.",2015-10-21
"The Medallion Print Scarf. A little something with a big impact. Shop now: https://t.co/stOruw0qpL https://t.co/o7BkLPU5Bm",2015-10-21
"Piece it together. Flowy blouse, flippy skirt. Shop The Medallion Print: https://t.co/YTUHVO8i2V https://t.co/rhmBqARxtl",2015-10-21
"Coffee date? Cancel it. Lunch plans? Postpone them. Because today, shop 50% off everything in stores: https://t.co/dkQ18BHA6c",2015-10-21
"Layering goals Ì†ºÌΩÇ. #autumncolors #loveloft https://t.co/GU021r73Rh",2015-10-20
"Your core classics? A turtleneck and easy skirt. Shop The Monthly Edit: https://t.co/DLfnT435mJ https://t.co/RJUvFsaQLH",2015-10-20
"Park hangs. #loveloft @ Washington Square Park https://t.co/zxxjh49sN1",2015-09-22
"This fall, get wrapped up in skirts, sweaters, ponchos and more. Shop New Arrivals: http://t.co/6W5IaVi6XT http://t.co/ssoPoqhqyC",2015-09-22
"Have you checked your horoscope yet? RT @AnnieKSullivan Also, my @LOFT horoscope is on fleek today.  http://t.co/bHOOqftjSk",2015-09-22
"@leta_pita Unfortunately it is not possible at the moment.",2015-09-22
"Ponchos, the acceptable way to wear a blanket. #loveloft https://t.co/3a3tTYlnFr",2015-09-21
"Get wrapped up in new arrivals. http://t.co/0o314snsPX http://t.co/IHGhpqIR4U",2015-09-21
"Sunsets and soft sweaters. #loveloft https://t.co/HnDsSp1EE5",2015-09-20
"Every wardrobe needs some leopard. #seeingspots #loveloft @ Greenwich Village https://t.co/dqkGf5ZNQA",2015-09-20
"Top off your outfit. #accessorized #loveloft https://t.co/SoEWIXw7d1",2015-09-19
"Just add sunflowers #Ì†ºÌºª @kendievryday #loveloft https://t.co/d0yJUT5QV6",2015-09-18
"Perfecting our fall look. #falldressing #loveloft @ The Metropolitan Museum of Art, New York https://t.co/BrZHR8YnZr",2015-09-17
"The perfect layering piece on @couldihavethat (Checking out that tote? Visit http://t.co/Pjbx0gPcyc to‚Ä¶ https://t.co/3Bt9rHbdHq",2015-09-16
"RT @atownx Confession: I read @LOFT's horoscopes every morning. http://t.co/GImlAe7g7G",2015-09-16
"Fall is here. Layer like you mean it. http://t.co/Z6YNeDdBDv http://t.co/wn17wxZhK2",2015-09-15
"Matching the skyline. #nycprimeshot #loveloft @ Central Park https://t.co/VoVw1yIJvZ",2015-09-15
"@JessAltshuler So sorry to hear that! We would advise you to take your receipt to your local store for further assistance.",2015-09-15
"@alighiery Sorry for any frustrations! You can pay your bill online at http://t.co/C3J4MuqPjR. Hope this helps!",2015-09-15
"Cozy button ups in printed patterns. #keepitcasual #loveloft https://t.co/qJSJVN3D9B",2015-09-15
"Trying out a new palette this fall. #loveloft https://t.co/RHR3Wmm8aU",2015-09-14
